# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment	Phenotype categories (multiple columns)
ABCC8	59	Hypoglycemia of infancy, leucine-sensitive	AD	240800				
ABCC9	60	Atrial fibrillation, familial, 12	AD	614050				
ABCC9	60	Cardiomyopathy, dilated, 1O		608569				
ABCC9	60	Hypertrichotic osteochondrodysplasia	AD	239850				
ABCD1	61	Adrenoleukodystrophy	XR	300100				
ABCD1	61	Adrenomyeloneuropathy, adult	XR	300100				
ABCD3	67	?Bile acid synthesis defect, congenital, 5	AR	616278				
ABCD4	68	Methylmalonic aciduria and homocystinuria, cblJ type	AR	614857				
ABCG5	13886	Sitosterolemia	AR	210250				
ABCG8	13887	Sitosterolemia	AR	210250				
ABHD12	15868	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	AR	612674				
ABHD5	21396	Chanarin-Dorfman syndrome	AR	275630				
ABL1	76	Congenital heart defects and skeletal malformations syndrome	AD	617602				
ACAD8	87	Isobutyryl-CoA dehydrogenase deficiency	AR	611283				
ACAD9	21497	Mitochondrial complex I deficiency due to ACAD9 deficiency	AR	611126				
ACADM	89	Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	201450				
ACADS	90	Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	201470				
ACADSB	91	2-methylbutyrylglycinuria	AR	610006				
ACADVL	92	VLCAD deficiency	AR	201475				
ACAN	319	?Spondyloepimetaphyseal dysplasia, aggrecan type	AR	612813				
ACAN	319	?Spondyloepiphyseal dysplasia, Kimberley type	AD	608361				
ACAN	319	Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans	AD	165800				
ACAT1	93	Alpha-methylacetoacetic aciduria	AR	203750				
ACBD5	23338	Leukodystrophy and retinal dystrophy	AR		27799409			
ACD	25070	?Dyskeratosis congenita, autosomal dominant 6	AD	616553				
ACD	25070	?Dyskeratosis congenita, autosomal recessive 7	AR	616553				
ACE	2707	Renal tubular dysgenesis	AR	267430				
ACER3	16066	?Leukodystrophy, progressive, early childhood-onset	AR	617762				
ACO2	118	?Optic atrophy 9	AR	616289				
ACO2	118	Infantile cerebellar-retinal degeneration	AR	614559				
ACOX1	119	Peroxisomal acyl-CoA oxidase deficiency	AR	264470				
ACOX2	120	Bile acid synthesis defect, congenital, 6	AR	617308				
ACP5	124	Spondyloenchondrodysplasia with immune dysregulation	AR	607944				
ACPT	14376	Amelogenesis imperfecta, type IJ	AR	617297				
ACSF3	27288	Combined malonic and methylmalonic aciduria	AR	614265				
ACSL4	3571	Mental retardation, X-linked 63	XD	300387				
ACTA1	129	?Myopathy, scapulohumeroperoneal	AD	616852				
ACTA1	129	Myopathy, actin, congenital, with cores	AR;AD	161800				
ACTA1	129	Myopathy, actin, congenital, with excess of thin myofilaments	AR;AD	161800				
ACTA1	129	Myopathy, congenital, with fiber-type disproportion 1	AR;AD	255310				
ACTA1	129	Nemaline myopathy 3, autosomal dominant or recessive	AR;AD	161800				
ACTA2	130	Aortic aneurysm, familial thoracic 6	AD	611788				
ACTA2	130	Moyamoya disease 5	AD	614042				
ACTA2	130	Multisystemic smooth muscle dysfunction syndrome	AD	613834				
ACTB	132	?Dystonia, juvenile-onset	AD	607371				
ACTB	132	Baraitser-Winter syndrome 1	AD	243310				
ACTC1	143	Atrial septal defect 5	AD	612794				
ACTC1	143	Cardiomyopathy, dilated, 1R	AD	613424				
ACTC1	143	Cardiomyopathy, hypertrophic, 11	AD	612098				
ACTC1	143	Left ventricular noncompaction 4	AD	613424				
ACTG1	144	Baraitser-Winter syndrome 2	AD	614583				
ACTG1	144	Deafness, autosomal dominant 20/26	AD	604717				
ACTG2	145	Visceral myopathy	AD	155310				
ACTN1	163	Bleeding disorder, platelet-type, 15	AD	615193				
ACTN2	164	Cardiomyopathy, dilated, 1AA, with or without LVNC	AD	612158				
ACTN2	164	Cardiomyopathy, hypertrophic, 23, with or without LVNC	AD	612158				
ACTN4	166	Glomerulosclerosis, focal segmental, 1	AD	603278				
ACVR1	171	Fibrodysplasia ossificans progressiva	AD	135100				
ACVR2B	174	Heterotaxy, visceral, 4, autosomal	AD	613751				
ACVRL1	175	Telangiectasia, hereditary hemorrhagic, type 2	AD	600376				
ACY1	177	Aminoacylase 1 deficiency	AR	609924				
ADA	186	Adenosine deaminase deficiency, partial	AR	102700				
ADA	186	Severe combined immunodeficiency due to ADA deficiency	AR	102700				
ADAM10	188	Reticulate acropigmentation of Kitamura	AD	615537				
ADAM17	195	?Inflammatory skin and bowel disease, neonatal, 1	AR	614328				
ADAM9	216	Cone-rod dystrophy 9	AD	612775				
ADAMTS10	13201	Weill-Marchesani syndrome 1, recessive	AR	277600				
ADAMTS13	1366	Thrombotic thrombocytopenic purpura, familial	AR	274150				
ADAMTS17	17109	Weill-Marchesani 4 syndrome, recessive	AR	613195				
ADAMTS18	17110	Microcornea, myopic chorioretinal atrophy, and telecanthus	AR	615458				
ADAMTS2	218	Ehlers-Danlos syndrome, dermatosparaxis type	AR	225410				
ADAMTSL2	14631	Geleophysic dysplasia 1	AR	231050				
ADAMTSL4	19706	Ectopia lentis et pupillae	AR	225200				
ADAMTSL4	19706	Ectopia lentis, isolated, autosomal recessive	AR	225100				
ADAR	225	Aicardi-Goutieres syndrome 6	AR	615010				
ADAR	225	Dyschromatosis symmetrica hereditaria	AD	127400				
ADAT3	25151	Mental retardation, autosomal recessive 36	AR	615286				
ADCK3	16812	Coenzyme Q10 deficiency, primary, 4	AR	612016				
ADCK4	19041	Nephrotic syndrome, type 9	AR	615573				
ADCY1	232	?Deafness, autosomal recessive 44	AR	610154				
ADCY5	236	Dyskinesia, familial, with facial myokymia	AD	606703				
ADCY6	237	?Lethal congenital contracture syndrome 8	AR	616287				
ADD3	245	Cerebral palsy, spastic quadriplegic, 3	AR	617008				
ADK	257	Hypermethioninemia due to adenosine kinase deficiency	AR	614300				
ADNP	15766	Helsmoortel-van der Aa syndrome	AD	615873				
ADRA2B	282	Epilepsy, myoclonic, familial adult, 2	AD	607876				
ADSL	291	Adenylosuccinase deficiency	AR	103050				
ADSSL1	20093	Myopathy, distal, 5	AR	617030				
AFF2	3776	Mental retardation, X-linked, FRAXE type	XR	309548				
AFF3	6473	Mesomelic dysplasia	AD		25660031		dominant negative	
AFF4	17869	CHOPS syndrome	AD	616368				
AFG3L2	315	Spastic ataxia 5, autosomal recessive	AR	614487				
AFG3L2	315	Spinocerebellar ataxia 28	AD	610246				
AFP	317	Alpha-fetoprotein deficiency	AR	615969				
AGA	318	Aspartylglucosaminuria	AR	208400				
AGBL1	26504	Corneal dystrophy, Fuchs endothelial, 8	AD	615523				
AGBL5	26147	Retinitis pigmentosa 75	AR	617023				
AGK	21869	Cataract 38, autosomal recessive	AR	614691				
AGK	21869	Sengers syndrome	AR	212350				
AGL	321	Glycogen storage disease IIIa	AR	232400				
AGL	321	Glycogen storage disease IIIb	AR	232400				
AGPAT2	325	Lipodystrophy, congenital generalized, type 1	AR	608594				
AGPS	327	Rhizomelic chondrodysplasia punctata, type 3	AR	600121				
AGRN	329	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	AR	615120				
AGT	333	Renal tubular dysgenesis	AR	267430				
AGTR1	336	Renal tubular dysgenesis	AR	267430				
AGXT	341	Hyperoxaluria, primary, type 1	AR	259900				
AHCY	343	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	AR	613752				
AHDC1	25230	Xia-Gibbs syndrome	AD	615829				
AHI1	21575	Joubert syndrome 3	AR	608629				
AICDA	13203	Immunodeficiency with hyper-IgM, type 2	AR	605258				
AIFM1	8768	Combined oxidative phosphorylation deficiency 6	XR	300816				
AIFM1	8768	Cowchock syndrome	XR	310490				
AIFM1	8768	Deafness, X-linked 5	XR	300614				
AIMP1	10648	Leukodystrophy, hypomyelinating, 3	AR	260600				
AIP	358	Pituitary adenoma 1, multiple types	SMu;AD	102200				
AIP	358	Pituitary adenoma predisposition	AD	102000				
AIPL1	359	Cone-rod dystrophy	AR	604393				
AIPL1	359	Leber congenital amaurosis 4	AR	604393				
AIPL1	359	Retinitis pigmentosa, juvenile	AR	604393				
AIRE	360	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	AR;AD	240300				
AK1	361	Hemolytic anemia due to adenylate kinase deficiency	AR	612631				
AK2	362	Reticular dysgenesis	AR	267500				
AKAP9	379	?Long QT syndrome-11	AD	611820				
AKR1C2	385	46XY sex reversal 8	AR	614279				
AKR1D1	388	Bile acid synthesis defect, congenital, 2	AR	235555				
AKT2	392	Diabetes mellitus, type II	AD	125853				
AKT2	392	Hypoinsulinemic hypoglycemia with hemihypertrophy	AD	240900				
AKT3	393	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937				
ALAD	395	Porphyria, acute hepatic	AR	612740				
ALAS2	397	Anemia, sideroblastic, 1	XR	300751				
ALAS2	397	Protoporphyria, erythropoietic, X-linked	XD	300752				
ALB	399	Analbuminemia	AR	616000				
ALDH18A1	9722	Cutis laxa, autosomal dominant 3	AD	616603				
ALDH18A1	9722	Cutis laxa, autosomal recessive, type IIIA	AR	219150				
ALDH18A1	9722	Spastic paraplegia 9A, autosomal dominant	AD	601162				
ALDH18A1	9722	Spastic paraplegia 9B, autosomal recessive	AR	616586				
ALDH1A3	409	Microphthalmia, isolated 8	AR	615113				
ALDH3A2	403	Sjogren-Larsson syndrome	AR	270200				
ALDH4A1	406	Hyperprolinemia, type II	AR	239510				
ALDH5A1	408	Succinic semialdehyde dehydrogenase deficiency	AR	271980				
ALDH6A1	7179	Methylmalonate semialdehyde dehydrogenase deficiency	AR	614105				
ALDH7A1	877	Epilepsy, pyridoxine-dependent	AR	266100				
ALDOA	414	Glycogen storage disease XII	AR	611881				
ALDOB	417	Fructose intolerance, hereditary	AR	229600				
ALG1	18294	Congenital disorder of glycosylation, type Ik	AR	608540				
ALG11	32456	Congenital disorder of glycosylation, type Ip	AR	613661				
ALG12	19358	Congenital disorder of glycosylation, type Ig	AR	607143				
ALG13	30881	?Congenital disorder of glycosylation, type Is	XD	300884				
ALG13	30881	Epileptic encephalopathy, early infantile, 36	XD	300884				
ALG14	28287	?Myasthenic syndrome, congenital, 15, without tubular aggregates	AR	616227				
ALG2	23159	?Congenital disorder of glycosylation, type Ii	AR	607906				
ALG2	23159	Myasthenic syndrome, congenital, 14, with tubular aggregates	AR	616228				
ALG3	23056	Congenital disorder of glycosylation, type Id	AR	601110				
ALG6	23157	Congenital disorder of glycosylation, type Ic	AR	603147				
ALG8	23161	Congenital disorder of glycosylation, type Ih	AR	608104				
ALG8	23161	Polycystic liver disease 3 with or without kidney cysts	AD	617874				
ALG9	15672	Congenital disorder of glycosylation, type Il	AR	608776				
ALG9	15672	Gillessen-Kaesbach-Nishimura syndrome	AR	263210				
ALMS1	428	Alstrom syndrome	AR	203800				
ALOX12B	430	Ichthyosis, congenital, autosomal recessive 2	AR	242100				
ALOXE3	13743	Ichthyosis, congenital, autosomal recessive 3	AR	606545				
ALPL	438	Hypophosphatasia, adult	AD	146300				
ALPL	438	Hypophosphatasia, childhood	AR	241510				
ALPL	438	Hypophosphatasia, infantile	AR	241500				
ALPL	438	Odontohypophosphatasia	AR;AD	146300				
ALS2	443	Amyotrophic lateral sclerosis 2, juvenile	AR	205100				
ALS2	443	Primary lateral sclerosis, juvenile	AR	606353				
ALS2	443	Spastic paralysis, infantile onset ascending	AR	607225				
ALX1	1494	?Frontonasal dysplasia 3	AR	613456				
ALX3	449	Frontonasal dysplasia 1	AR	136760				
ALX4	450	Frontonasal dysplasia 2	AR	613451				
ALX4	450	Parietal foramina 2	AD	609597				
AMACR	451	Alpha-methylacyl-CoA racemase deficiency	AR	614307				
AMACR	451	Bile acid synthesis defect, congenital, 4	AR	214950				
AMBN	452	Amelogenesis imperfecta, type IF	AR	616270				
AMELX	461	Amelogenesis imperfecta, type 1E	XD	301200				
AMER1	26837	Osteopathia striata with cranial sclerosis	XD	300373				
AMH	464	Persistent Mullerian duct syndrome, type I	AR	261550				
AMHR2	465	Persistent Mullerian duct syndrome, type II	AR	261550				
AMMECR1	467	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	XR	300990				
AMN	14604	Megaloblastic anemia-1, Norwegian type	AR	261100				
AMN	14604	Adrenoleukodystrophy	XR	300100				
AMN	14604	Adrenomyeloneuropathy, adult	XR	300100				
AMPD1	468	Myopathy due to myoadenylate deaminase deficiency	AR	615511				
AMPD2	469	?Spastic paraplegia 63	AR	615686				
AMPD2	469	Pontocerebellar hypoplasia, type 9	AR	615809				
AMT	473	Glycine encephalopathy	AR	605899				
AMTN	33188	?Amelogenesis imperfecta, type IIIB	AD	617607				
ANG	483	Amyotrophic lateral sclerosis 9	AD	611895				
ANGPTL3	491	Hypobetalipoproteinemia, familial, 2	AR	605019				
ANK1	492	Spherocytosis, type 1	AD	182900				
ANK2	493	Cardiac arrhythmia, ankyrin-B-related	AD	600919				
ANK2	493	Long QT syndrome 4	AD	600919				
ANK3	494	?Mental retardation, autosomal recessive, 37	AR	615493				
ANKH	15492	Chondrocalcinosis 2	AD	118600				
ANKH	15492	Craniometaphyseal dysplasia	AD	123000				
ANKLE2	29101	?Microcephaly 16, primary, autosomal recessive	AR	616681				
ANKRD11	21316	KBG syndrome	AD	148050				
ANKRD26	29186	Thrombocytopenia 2	AD	188000				
ANKS6	26724	Nephronophthisis 16	AR	615382				
ANLN	14082	Focal segmental glomerulosclerosis 8	AD	616032				
ANO10	25519	Spinocerebellar ataxia, autosomal recessive 10	AR	613728				
ANO3	14004	Dystonia 24	AD	615034				
ANO5	27337	Gnathodiaphyseal dysplasia	AD	166260				
ANO5	27337	Miyoshi muscular dystrophy 3	AR	613319				
ANO5	27337	Muscular dystrophy, limb-girdle, type 2L	AR	611307				
ANO6	25240	Scott syndrome	AR	262890				
ANTXR1	21014	GAPO syndrome	AR	230740				
ANTXR2	21732	Hyaline fibromatosis syndrome	AR	228600				
ANXA11	535	Amytrophic lateral sclerosis 23	AD	617839				
AP1S1	559	MEDNIK syndrome	AR	609313				
AP1S2	560	Mental retardation, X-linked syndromic 5	XR	304340				
AP2S1	565	Hypocalciuric hypercalcemia, type III	AD	600740				
AP3B1	566	Hermansky-Pudlak syndrome 2	AR	608233				
AP3B2	567	Epileptic encephalopathy, early infantile, 48	AR	617276				
AP3D1	568	?Hermansky-Pudlak syndrome 10	AR	617050				
AP4B1	572	Spastic paraplegia 47, autosomal recessive	AR	614066				
AP4E1	573	Spastic paraplegia 51, autosomal recessive	AR	613744				
AP4E1	573	Stuttering, familial persistent, 1	AD	184450				
AP4M1	574	Spastic paraplegia 50, autosomal recessive	AR	612936				
AP4S1	575	Spastic paraplegia 52, autosomal recessive	AR	614067				
AP5Z1	22197	Spastic paraplegia 48, autosomal recessive	AR	613647				
APC	583	Adenomatous polyposis coli	AD	175100				
APC	583	Brain tumor-polyposis syndrome 2	AD	175100				
APC	583	Desmoid disease, hereditary	AD	135290				
APC	583	Gardner syndrome	AD	175100				
APC2	24036	?Sotos syndrome 3	AR	617169				
APCDD1	15718	Hypotrichosis 1	AD	605389				
APOA1	600	Amyloidosis, 3 or more types	AD	105200				
APOA1	600	Corneal clouding, autosomal recessive	AR					
APOA1	600	Hypoalphalipoproteinemia	AD	604091				
APOA1BP	18453	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy	AR	617186				
APOA2	601	Apolipoprotein A-II deficiency	AR					
APOA5	17288	Hyperchylomicronemia, late-onset	AD	144650				
APOB	603	Hypercholesterolemia, due to ligand-defective apo B	AD	144010				
APOB	603	Hypobetalipoproteinemia	AR	615558				
APOC2	609	Hyperlipoproteinemia, type Ib	AR	207750				
APOC3	610	Apolipoprotein C-III deficiency	AD;AR	614028				
APOE	613	Alzheimer disease-2	AD	104310				
APOE	613	Hyperlipoproteinemia, type III	AD;AR	617347				
APOE	613	Lipoprotein glomerulopathy	AD	611771				
APOE	613	Sea-blue histiocyte disease	AR	269600				
APOPT1	20492	Mitochondrial complex IV deficiency	AR	220110				
APP	620	Alzheimer disease 1, familial	AD	104300				
APP	620	Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants	AD	605714				
APPL1	24035	{Maturity-onset diabetes of the young, type 14}	AD	616511				
APRT	626	Adenine phosphoribosyltransferase deficiency	AR	614723				
AQP2	634	Diabetes insipidus, nephrogenic	AR;AD	125800				
AQP5	638	Palmoplantar keratoderma, Bothnian type	AD	600231				
AR	644	Androgen insensitivity	XR	300068				
AR	644	Androgen insensitivity, partial, with or without breast cancer	XR	312300				
AR	644	Hypospadias 1, X-linked	XR	300633				
AR	644	Spinal and bulbar muscular atrophy of Kennedy	XR	313200				
ARCN1	649	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay	AD	617164				
ARFGEF2	15853	Periventricular heterotopia with microcephaly	AR	608097				
ARG1	663	Argininemia	AR	207800				
ARHGAP31	29216	Adams-Oliver syndrome 1	AD	100300				
ARHGDIA	678	Nephrotic syndrome, type 8	AR	615244				
ARHGEF10	14103	?Slowed nerve conduction velocity, AD	AD	608236				
ARHGEF18	17090	Retinitis pigmentosa 78	AR	617433				
ARHGEF2	682	?Neurodevelopmental disorder with midbrain and hindbrain malformations	AR	617523				
ARHGEF6	685	Mental retardation, X-linked 46	X	300436				
ARHGEF9	14561	Epileptic encephalopathy, early infantile, 8	X	300607				
ARID1A	11110	Coffin-Siris syndrome 2	AD	614607				
ARID1B	18040	Coffin-Siris syndrome 1	AD	135900				
ARID2	18037	Coffin-Siris syndrome 6	AD	617808				
ARL13B	25419	Joubert syndrome 8	AR	612291				
ARL2BP	17146	Retinitis pigmentosa with or without situs inversus	AR	615434				
ARL6	13210	?Retinitis pigmentosa 55	AR	613575				
ARL6	13210	Bardet-Biedl syndrome 3	AR	600151				
ARL6IP1	697	?Spastic paraplegia 61, autosomal recessive	AR	615685				
ARMC4	25583	Ciliary dyskinesia, primary, 23	AR	615451				
ARMC5	25781	ACTH-independent macronodular adrenal hyperplasia 2	AD	615954				
ARMC9	20730	Joubert syndrome 30	AR	617622				
ARNT2	16876	?Webb-Dattani syndrome	AR	615926				
ARPC1B	704	Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	AR	617718				
ARR3	710	Myopia 26, X-linked, female-limited	X	301010				
ARSA	713	Metachromatic leukodystrophy	AR	250100				
ARSB	714	Mucopolysaccharidosis type VI (Maroteaux-Lamy)	AR	253200				
ARSE	719	Chondrodysplasia punctata, X-linked recessive	XR	302950				
ARV1	29561	Epileptic encephalopathy, early infantile, 38	AR	617020				
ARX	18060	Epileptic encephalopathy, early infantile, 1	XR	308350				
ARX	18060	Hydranencephaly with abnormal genitalia	X	300215				
ARX	18060	Lissencephaly, X-linked 2	X	300215				
ARX	18060	Mental retardation, X-linked 29 and others	XR	300419				
ARX	18060	Partington syndrome	XR	309510				
ARX	18060	Proud syndrome	X	300004				
ASAH1	735	Farber lipogranulomatosis	AR	228000				
ASAH1	735	Spinal muscular atrophy with progressive myoclonic epilepsy	AR	159950				
ASB10	17185	Glaucoma 1, open angle, F	AD	603383				
ASCC1	24268	?Spinal muscular atrophy with congenital bone fractures 2	AR	616867				
ASCC1	24268	Barrett esophagus/esophageal adenocarcinoma	AD	614266				
ASCL1	738	Central hypoventilation syndrome, congenital	AD	209880				
ASCL1	738	Haddad syndrome	AD	209880				
ASH1L	19088	Mental retardation, autosomal dominant 52	AD	617796				
ASL	746	Argininosuccinic aciduria	AR	207900				
ASNS	753	Asparagine synthetase deficiency	AR	615574				
ASPA	756	Canavan disease	AR	271900				
ASPH	757	Traboulsi syndrome	AR	601552				
ASPM	19048	Microcephaly 5, primary, autosomal recessive	AR	608716				
ASS1	758	Citrullinemia	AR	215700				
ASXL1	18318	Bohring-Opitz syndrome	AD	605039				
ASXL2	23805	Shashi-Pena syndrome	AD	617190				
ASXL3	29357	Bainbridge-Ropers syndrome	AR	615485				
ATAD3A	25567	Harel-Yoon syndrome	AR;AD	617183				
ATCAY	779	Ataxia, cerebellar, Cayman type	AR	601238				
ATF6	791	Achromatopsia 7	AR	616517				
ATG5	589	?Spinocerebellar ataxia, autosomal recessive 25	AR	617584				
ATIC	794	AICA-ribosiduria due to ATIC deficiency	AR	608688				
ATL1	11231	Neuropathy, hereditary sensory, type ID	AD	613708				
ATL1	11231	Spastic paraplegia 3A, autosomal dominant	AD	182600				
ATL3	24526	Neuropathy, hereditary sensory, type IF	AD	615632				
ATM	795	Ataxia-telangiectasia	AR	208900				
ATN1	3033	Dentatorubro-pallidoluysian atrophy	AD	125370				
ATOH7	13907	Persistent hyperplastic primary vitreous, autosomal recessive	AR	221900				
ATP13A2	30213	Kufor-Rakeb syndrome	AR	606693				
ATP13A2	30213	Spastic paraplegia 78, autosomal recessive	AR	617225				
ATP1A2	800	Migraine, familial hemiplegic, 2	AD	602481				
ATP1A2	800	Migraine, familial basilar	AD	602481				
ATP1A2	800	Alternating hemiplegia of childhood 1	AD	104290				
ATP1A3	801	CAPOS syndrome	AD	601338				
ATP1A3	801	Alternating hemiplegia of childhood 2	AD	614820				
ATP1A3	801	Dystonia-12	AD	128235				
ATP2A1	811	Brody myopathy	AR	601003				
ATP2A2	812	Acrokeratosis verruciformis	AD	101900				
ATP2A2	812	Darier disease	AD	124200				
ATP2B3	816	?Spinocerebellar ataxia, X-linked 1	XR	302500				
ATP2C1	13211	Hailey-Hailey disease	AD	169600				
ATP5A1	823	?Combined oxidative phosphorylation deficiency 22	AR	616045				
ATP5A1	823	?Mitochondrial complex (ATP synthase) deficiency, nuclear type 4	AR	615228				
ATP5E	838	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3	AR	614053				
ATP6AP1	868	Immunodeficiency 47	XR	300972				
ATP6AP2	18305	?Parkinsonism with spasticity, X-linked	XR	300911				
ATP6AP2	18305	Mental retardation, X-linked, syndromic, Hedera type	XR	300423				
ATP6V0A2	18481	Cutis laxa, autosomal recessive, type IIA	AR	219200				
ATP6V0A2	18481	Wrinkly skin syndrome	AR	278250				
ATP6V0A4	866	Renal tubular acidosis, distal, autosomal recessive	AR	602722				
ATP6V1A	851	Cutis laxa	AR	617403				
ATP6V1B1	853	Renal tubular acidosis with deafness	AR	267300				
ATP6V1B2	854	Deafness, congenital, with onychodystrophy, autosomal dominant	AD	124480				
ATP6V1B2	854	Zimmermann-Laband syndrome 2	AD	616455				
ATP6V1E1	857	Cutis laxa, autosomal recessive, type IIC	AR	617402				
ATP7A	869	Menkes disease	XR	309400				
ATP7A	869	Occipital horn syndrome	XR	304150				
ATP7A	869	Spinal muscular atrophy, distal, X-linked 3	XR	300489				
ATP7B	870	Wilson disease	AR	277900				
ATP8A2	13533	?Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4	AR	615268				
ATP8B1	3706	Cholestasis, benign recurrent intrahepatic	AR	243300				
ATP8B1	3706	Cholestasis, intrahepatic, of pregnancy, 1	AD	147480				
ATP8B1	3706	Cholestasis, progressive familial intrahepatic 1	AR	211600				
ATPAF2	18802	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	AR	604273				
ATR	882	?Cutaneous telangiectasia and cancer syndrome, familial	AD	614564				
ATR	882	Seckel syndrome 1	AR	210600				
ATRX	886	Alpha-thalassemia/mental retardation syndrome	XD	301040				
ATRX	886	Mental retardation-hypotonic facies syndrome, X-linked	XR	309580				
ATXN1	10548	Spinocerebellar ataxia 1	AD	164400				
ATXN10	10549	Spinocerebellar ataxia 10	AD	603516				
ATXN2	10555	Spinocerebellar ataxia 2	AD	183090				
ATXN3	7106	Machado-Joseph disease	AD	109150				
ATXN7	10560	Spinocerebellar ataxia 7	AD	164500				
AUH	890	3-methylglutaconic aciduria, type I	AR	250950				
AURKC	11391	Spermatogenic failure 5	AR	243060				
AUTS2	14262	Mental retardation	AD	615834				
AVP	894	Diabetes insipidus, neurohypophyseal	AD	125700				
AVPR2	897	Diabetes insipidus, nephrogenic	XR	304800				
AVPR2	897	Nephrogenic syndrome of inappropriate antidiuresis	XR	300539				
AXIN1	903	Bicuspid aortic valve	AD		28387797			
AXIN2	904	Oligodontia-colorectal cancer syndrome	AD	608615				
B2M	914	?Amyloidosis, familial visceral	AD	105200				
B2M	914	Immunodeficiency 43	AR	241600				
B3GALNT2	28596	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11)	AR	615181				
B3GALT6	17978	Ehlers-Danlos syndrome, spondylodysplastic type, 2	AR	615349				
B3GALT6	17978	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	AR	271640				
B3GALTL	20207	Peters-plus syndrome	AR	261540				
B3GAT3	923	Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects	AR	245600				
B3GNT1	15685	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13	AR	615287				
B4GALNT1	4117	Spastic paraplegia 26, autosomal recessive	AR	609195				
B4GALT1	924	Congenital disorder of glycosylation, type IId	AR	607091				
B4GALT7	930	Ehlers-Danlos syndrome, spondylodysplastic type, 1	AR	130070				
