# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	HGNC	Omim gene entry	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
1	8378144	8404227	NM_001080397.2	0	+	SLC45A1	17939	605763		ENSG00000162426	ENST00000289877	8378168	8404073	8378144,8384365,8385357,8385877,8390268,8395496,8397875,8399552,8403806	8378246,8384786,8385450,8386102,8390996,8395650,8398052,8399758,8404227
1	8412463	8877699	NM_012102.3	0	-	RERE	9965	605226	KIAA0458,ARP,ARG,DNB1	ENSG00000142599	ENST00000337907	8415146	8716356	8412463,8415478,8416159,8418255,8419823,8420171,8421822,8422742,8424115,8424805,8425871,8482786,8525984,8555122,8557464,8568685,8601272,8616533,8617476,8674619,8684368,8716031,8852462,8877218	8415180,8415659,8416306,8418976,8420046,8421550,8421936,8422904,8424315,8424898,8426034,8482867,8526083,8555222,8557589,8568734,8601377,8616630,8617582,8674745,8684439,8716500,8852647,8877699
1	9294862	9331394	NM_004285.3	0	+	H6PD	4795	138090		ENSG00000049239	ENST00000377403	9304993	9324928	9294862,9304983,9307024,9322117,9323567	9295125,9305620,9307142,9322387,9331394
1	9711788	9788980	NM_005026.4	0	+	PIK3CD	8977	602839	p110D	ENSG00000171608	ENST00000377346	9770513	9787104	9711788,9751524,9770481,9775598,9775906,9776497,9777016,9777594,9778751,9779978,9780169,9780668,9780799,9781184,9781501,9781818,9782032,9782301,9782585,9783182,9784026,9784333,9784861,9786966	9711860,9751629,9770654,9775827,9776136,9776677,9777166,9777684,9778973,9780075,9780300,9780719,9780967,9781306,9781645,9781918,9782211,9782414,9782664,9783350,9784150,9784479,9784994,9788980
1	10003485	10045556	NM_022787.3	0	+	NMNAT1	17877	608700	?	ENSG00000173614	ENST00000377205	10032131	10042759	10003485,10032075,10035649,10041088,10042358	10003573,10032246,10035833,10041228,10045556
1	10270763	10441661	NM_015074.3	0	+	KIF1B	16636	605995	KIAA0591,KLP,HMSNII	ENSG00000054523	ENST00000263934	10292386	10436645	10270763,10292307,10316304,10318550,10321962,10327437,10328209,10331559,10332298,10335485,10336378,10338043,10342457,10351139,10352104,10355143,10355717,10356639,10356954,10357231,10380100,10381766,10383941,10384815,10386168,10394577,10396714,10397131,10397428,10399826,10402107,10403289,10405902,10407818,10408706,10412688,10420986,10421749,10423340,10425157,10425466,10428524,10431198,10434373,10434911,10435312,10436602	10270936,10292492,10316381,10318730,10322028,10327616,10328321,10331637,10332364,10335561,10336457,10338186,10342591,10351219,10352180,10355223,10355824,10356723,10357135,10357304,10380194,10381915,10384120,10384953,10386417,10394696,10396800,10397261,10397591,10399917,10402226,10403345,10406011,10407885,10408791,10412794,10421101,10421883,10423402,10425303,10425706,10428596,10431320,10434523,10435104,10435431,10441661
1	10535002	10690815	NM_004565.2	0	+	PEX14	8856	601791		ENSG00000142655	ENST00000356607	10535023	10690044	10535002,10555330,10596269,10659294,10678388,10683075,10684396,10687328,10689587	10535059,10555378,10596354,10659423,10678474,10683178,10684494,10687420,10690815
1	11072678	11085549	NM_007375.3	0	+	TARDBP	11571	605078	TDP-43,ALS10	ENSG00000120948	ENST00000240185	11073784	11082711	11072678,11073772,11076900,11078789,11080485,11082180	11072800,11074022,11077064,11078930,11080656,11085549
1	11086579	11107296	NM_006610.3	0	-	MASP2	6902	605102		ENSG00000009724	ENST00000400897	11086941	11107264	11086579,11090232,11090804,11094884,11097749,11102931,11103395,11105464,11106612,11106947,11107259	11087705,11090307,11090939,11094963,11097868,11103079,11103592,11105596,11106790,11107176,11107296
1	11166587	11322608	NM_004958.3	0	-	MTOR	3942	601231	RAFT1,RAPT1,FLJ44809	ENSG00000198793	ENST00000361445	11167541	11319466	11166587,11168237,11169346,11169705,11172908,11174374,11174869,11175452,11177060,11181302,11182035,11184554,11186678,11187066,11187680,11188060,11188510,11188911,11189794,11190585,11193136,11194407,11199360,11199589,11204704,11205024,11206732,11210182,11217208,11227498,11259314,11259597,11264617,11269368,11270870,11272368,11272852,11273455,11276204,11288724,11290981,11291356,11292492,11293454,11294199,11297899,11298458,11300359,11301609,11303170,11307681,11307875,11313895,11316048,11316989,11318541,11319304,11322501	11167557,11168343,11169427,11169786,11172974,11174510,11174944,11175525,11177143,11181425,11182183,11184690,11186853,11187201,11187863,11188183,11188609,11189008,11189895,11190834,11193254,11194523,11199492,11199715,11204812,11205102,11206848,11210283,11217348,11227574,11259460,11259760,11264760,11269515,11270963,11272531,11272965,11273623,11276291,11288975,11291111,11291491,11292585,11293544,11294322,11298105,11298674,11300604,11301738,11303357,11307790,11308151,11314030,11316249,11317222,11318650,11319480,11322608
1	11333254	11348491	NM_013319.2	0	+	UBIAD1	30791	611632	TERE1	ENSG00000120942	ENST00000376810	11333588	11346188	11333254,11345700	11334117,11348491
1	11734536	11751678	NM_001127325.1	0	-	MAD2L2	6764	604094	MAD2B,REV7,POLZ2,FANCV	ENSG00000116670	ENST00000376667	11734831	11740658	11734536,11735138,11735714,11736102,11736904,11737599,11740409,11740618,11751469	11734873,11735231,11735788,11736197,11737005,11737671,11740528,11740670,11751678
1	11845786	11866160	NM_005957.4	0	-	MTHFR	7436	607093		ENSG00000177000	ENST00000376590	11850736	11863173	11845786,11851263,11852334,11853963,11854414,11854785,11855154,11856262,11860268,11861217,11862937,11865944	11850955,11851383,11852436,11854146,11854595,11854920,11855405,11856456,11860379,11861456,11863186,11866160
1	11905766	11907840	NM_006172.3	0	-	NPPA	7939	108780		ENSG00000175206	ENST00000376480	11906065	11907741	11905766,11907169,11907618	11906071,11907496,11907840
1	11994723	12035599	NM_000302.3	0	+	PLOD1	9081	153454	LH1	ENSG00000083444	ENST00000196061	11994836	12034865	11994723,12008032,12009829,12010413,12012679,12014886,12016973,12017898,12018572,12020702,12023588,12024231,12024700,12025536,12026307,12027043,12030726,12032928,12034709	11994912,12008124,12009963,12010577,12012792,12014950,12017071,12018000,12018704,12020824,12023693,12024357,12024842,12025650,12026373,12027148,12030873,12033054,12035599
1	12040237	12073572	NM_014874.3	0	+	MFN2	16877	608507	CPRP1,KIAA0214,MARF,CMT2A2	ENSG00000116688	ENST00000235329	12049225	12071622	12040237,12042026,12049221,12052611,12056212,12057353,12058826,12059044,12061457,12061825,12062038,12064048,12064565,12064881,12065767,12066594,12067109,12069648,12071552	12040541,12042171,12049400,12052747,12056375,12057478,12058935,12059152,12061611,12061893,12062160,12064175,12064670,12064984,12065988,12066750,12067306,12069783,12073572
1	16348485	16360545	NM_004070.3	0	+	CLCNKA	2026	602024	hClC-Ka	ENSG00000186510	ENST00000420078	16349114	16360153	16348485,16349107,16350294,16351257,16352602,16353030,16353191,16353804,16354315,16354512,16355255,16355620,16356225,16356459,16356955,16358204,16358697,16358937,16359664,16360105	16348558,16349214,16350423,16351386,16352742,16353108,16353270,16353930,16354400,16354614,16355340,16355794,16356295,16356570,16357169,16358338,16358786,16359021,16359751,16360545
1	16370230	16383821	NM_000085.4	0	+	CLCNKB	2027	602023	hClC-Kb	ENSG00000184908	ENST00000375679	16370987	16383411	16370230,16370980,16372052,16373029,16374399,16374837,16374998,16375614,16376112,16376309,16377010,16377369,16377972,16378204,16378692,16380133,16381929,16382169,16382916,16383363	16370375,16371087,16372181,16373158,16374539,16374915,16375077,16375740,16376197,16376411,16377095,16377543,16378042,16378315,16378906,16380267,16382018,16382253,16383003,16383821
1	16450831	16482604	NM_004431.4	0	-	EPHA2	3386	176946		ENSG00000142627	ENST00000358432	16451709	16482427	16450831,16455928,16456720,16458215,16458558,16458872,16459674,16459975,16460354,16460962,16461530,16462149,16464347,16464769,16474872,16477390,16482342	16451815,16456084,16456914,16458365,16458768,16458934,16459863,16460101,16460410,16461062,16461684,16462265,16464680,16464925,16475542,16477458,16482604
1	17312452	17338467	NM_022089.3	0	-	ATP13A2	30213	610513	HSA9947,CLN12	ENSG00000159363	ENST00000452699	17312715	17338233	17312452,17312957,17313299,17313540,17314632,17314816,17316185,17316381,17316621,17318228,17318503,17318737,17318980,17320123,17322470,17322748,17322880,17323514,17326505,17326740,17326894,17328528,17328790,17330826,17331186,17331508,17331868,17332178,17338223	17312853,17313127,17313451,17313764,17314729,17314969,17316265,17316498,17316782,17318353,17318624,17318897,17319076,17320330,17322659,17322795,17322991,17323670,17326637,17326807,17327029,17328598,17328868,17330906,17331316,17331567,17332051,17332273,17338467
1	17345224	17380665	NM_003000.2	0	-	SDHB	10681	185470		ENSG00000117118	ENST00000375499	17345375	17380514	17345224,17349102,17350467,17354243,17355094,17359554,17371255,17380442	17345453,17349225,17350569,17354360,17355231,17359640,17371383,17380665
1	17575592	17610727	NM_016233.2	0	+	PADI3	18337	606755	PDI3	ENSG00000142619	ENST00000375460	17575632	17609574	17575592,17586072,17588627,17592153,17593213,17594331,17596727,17597373,17597561,17599834,17601129,17603013,17603268,17606844,17607165,17609340	17575724,17586253,17588700,17592215,17593331,17594457,17596906,17597477,17597673,17599942,17601281,17603158,17603371,17606924,17607291,17610727
1	19197923	19229293	NM_003748.3	0	-	ALDH4A1	406	606811	P5CDh	ENSG00000159423	ENST00000375341	19199338	19229017	19197923,19200956,19201875,19202808,19203701,19203909,19205793,19208193,19209617,19209772,19211966,19212957,19215855,19216505,19228955	19199451,19201075,19201997,19202961,19203749,19204106,19205867,19208381,19209692,19209922,19212122,19213005,19215948,19216599,19229293
1	19542157	19578053	NM_015047.2	0	-	EMC1	28957	616846		ENSG00000127463	ENST00000477853	19545796	19578003	19542157,19546062,19547257,19549117,19549889,19553806,19557337,19557754,19559117,19559429,19561623,19563635,19564510,19565288,19565724,19566311,19566790,19567509,19568838,19570107,19570443,19571399,19577908	19545976,19546192,19547342,19549328,19550063,19553944,19557457,19557916,19559267,19559629,19561746,19563732,19564633,19565351,19565796,19566479,19566940,19567636,19568967,19570201,19570509,19571524,19578053
1	20959947	20978004	NM_032409.2	0	+	PINK1	14581	608309		ENSG00000158828	ENST00000321556	20960041	20977184	20959947,20964334,20966384,20970982,20972052,20974997,20975487,20976926	20960428,20964622,20966485,20971165,20972216,20975125,20975724,20978004
1	20978259	20988037	NM_005216.4	0	-	DDOST	2728	602202	OST,KIAA0115,OST48,WBP1,GATD6	ENSG00000244038	ENST00000375048	20978871	20987894	20978259,20979113,20979343,20980119,20980715,20981106,20981932,20982168,20982593,20987373,20987689	20979021,20979220,20979464,20980267,20980864,20981200,20982027,20982272,20982680,20987484,20988037
1	21543739	21616982	NM_001397.2	0	-	ECE1	3146	600423		ENSG00000117298	ENST00000374893	21546447	21616907	21543739,21548239,21551742,21553651,21554423,21560050,21562342,21563238,21564626,21571481,21573713,21582439,21584017,21585185,21586763,21599191,21605683,21616562,21616856	21546624,21548335,21551933,21553719,21554534,21560154,21562420,21563337,21564737,21571596,21573856,21582631,21584083,21585332,21586885,21599404,21605825,21616649,21616982
1	21835850	21904905	NM_000478.5	0	+	ALPL	438	171760	TNSALP,TNALP,TNAP	ENSG00000162551	ENST00000374840	21880574	21904141	21835850,21880470,21887118,21887589,21889602,21890533,21894596,21896797,21900157,21902225,21903014,21903875	21836010,21880635,21887238,21887705,21889777,21890709,21894740,21896867,21900292,21902417,21903134,21904905
1	22148724	22263790	NM_005529.6	0	-	HSPG2	5273	142461	perlecan,PRCAN	ENSG00000142798	ENST00000374695	22149808	22263710	22148724,22150108,22150613,22150798,22151029,22151196,22154355,22154522,22154747,22155327,22155875,22156485,22157474,22157707,22157955,22158144,22158987,22159760,22159959,22160308,22161171,22162032,22163294,22165317,22165863,22166314,22167593,22168031,22168494,22168731,22169262,22169789,22170640,22172600,22172940,22173846,22174181,22174450,22175135,22175385,22176533,22176855,22178038,22178283,22178580,22179192,22179411,22180685,22181103,22181340,22181796,22182015,22182279,22183507,22183777,22186058,22186327,22186669,22188249,22188480,22190592,22191335,22191777,22192209,22198678,22199112,22199489,22199867,22200417,22200898,22201108,22201383,22202121,22202355,22202721,22203004,22204678,22204925,22205069,22205486,22206599,22206855,22207148,22207831,22211020,22211259,22211505,22211812,22213707,22213912,22214430,22216473,22216919,22217077,22222414,22222667,22263647	22149981,22150212,22150697,22150869,22151108,22151272,22154412,22154645,22154919,22155572,22156097,22156584,22157583,22157817,22158055,22158289,22159099,22159877,22160107,22160418,22161438,22162130,22163499,22165578,22166043,22166510,22167778,22168166,22168635,22168873,22169414,22169931,22170792,22172748,22173092,22173985,22174333,22174586,22175287,22175524,22176685,22176991,22178190,22178419,22178726,22179325,22179563,22180836,22181258,22181476,22181939,22182168,22182405,22183688,22183878,22186169,22186495,22186728,22188336,22188608,22190706,22191566,22191858,22192302,22198870,22199253,22199584,22199917,22200504,22201026,22201222,22201495,22202240,22202535,22202898,22203145,22204746,22204984,22205156,22205614,22206747,22207052,22207328,22207995,22211167,22211411,22211650,22211944,22213827,22214167,22214559,22216634,22216978,22217187,22222459,22222803,22263790
1	22379119	22419436	NM_001791.3	0	+	CDC42	1736	116952	G25K,CDC42Hs	ENSG00000070831	ENST00000400259	22404971	22418010	22379119,22404921,22408214,22412931,22413161,22417920	22379235,22405076,22408287,22413041,22413359,22419436
1	22443797	22469519	NM_030761.4	0	-	WNT4	12783	603490	WNT-4	ENSG00000162552	ENST00000290167	22446542	22469415	22443797,22447703,22447937,22456108,22469338	22447010,22447846,22448069,22456344,22469519
1	22778343	22857650	NM_001083621.1	0	+	ZBTB40	29045	612106	KIAA0478,ZNF923	ENSG00000184677	ENST00000404138	22816441	22852889	22778343,22779151,22816372,22817892,22827984,22828791,22832541,22834493,22835022,22835592,22837671,22838168,22839416,22843792,22846553,22847988,22848869,22850710,22852694	22778497,22779439,22817138,22818026,22828177,22828934,22832734,22834630,22835224,22835726,22837840,22838627,22839623,22843957,22846768,22848151,22848956,22850937,22857650
1	22962998	22966175	NM_015991.3	0	+	C1QA	1241	120550		ENSG00000173372	ENST00000374642	22964109	22965900	22962998,22964102,22965325	22963195,22964272,22966175
1	22970109	22974604	NM_172369.4	0	+	C1QC	1245	120575		ENSG00000159189	ENST00000374640	22970516	22974276	22970109,22970503,22973719	22970207,22970697,22974604
1	22979473	22988129	NM_000491.4	0	+	C1QB	1242	120570		ENSG00000173369	ENST00000314933	22985949	22987879	22979473,22985932,22987304	22979796,22986136,22988129
1	23345940	23410184	NM_001009999.2	0	+	KDM1A	29079	609132	KIAA0601,BHC110,LSD1	ENSG00000004487	ENST00000400181	23346089	23409857	23345940,23356961,23370919,23376879,23380253,23381561,23382424,23383976,23385565,23392552,23395031,23395553,23397717,23398616,23399784,23403720,23405482,23406045,23407938,23408712,23409671	23346440,23357127,23370979,23377013,23380332,23381654,23382531,23384058,23385660,23392564,23395174,23395644,23397852,23398690,23399896,23403853,23405670,23406160,23408066,23408859,23410184
1	24018268	24022915	NM_000975.3	0	+	RPL11	10301	604175	L11,uL5	ENSG00000142676	ENST00000374550	24018313	24022863	24018268,24019098,24020296,24021149,24022287,24022833	24018319,24019249,24020403,24021281,24022398,24022915
1	24122088	24127034	NM_000403.3	0	-	GALE	4116	606953	SDR1E1	ENSG00000117308	ENST00000374497	24122438	24125497	24122088,24122640,24122998,24123186,24123365,24123523,24124184,24124606,24125104,24125376,24125855,24126876	24122497,24122755,24123076,24123272,24123432,24123637,24124361,24124720,24125220,24125502,24125926,24127034
1	24128366	24151949	NM_000191.2	0	-	HMGCL	5005	613898	HL	ENSG00000117305	ENST00000374490	24128952	24151905	24128366,24130889,24134624,24137225,24140679,24143164,24143965,24146999,24151845	24129054,24131015,24134813,24137289,24140828,24143260,24144073,24147083,24151949
1	24171571	24194859	NM_000147.4	0	-	FUCA1	4006	612280		ENSG00000179163	ENST00000374479	24172204	24194776	24171571,24172563,24175138,24180849,24186287,24189623,24191980,24194387	24172345,24172663,24175329,24181050,24186393,24189761,24192115,24194859
1	24645811	24690970	NM_198174.2	0	+	GRHL3	25839	608317	SOM	ENSG00000158055	ENST00000350501	24646041	24690861	24645811,24657915,24661134,24662971,24663567,24664125,24664481,24666157,24668604,24669183,24669381,24671386,24673042,24673957,24676547,24690674	24646058,24658102,24661196,24663317,24663641,24664279,24664593,24666252,24668763,24669262,24669515,24671421,24673131,24674043,24676612,24690970
1	25688739	25747405	NM_020485.5	0	-	RHCE	10008	111700	CD240CE	ENSG00000188672	ENST00000294413	25689017	25747277	25688739,25696957,25701839,25712201,25715466,25717239,25718484,25729086,25735173,25747129	25689044,25697031,25701919,25712335,25715604,25717406,25718632,25729237,25735360,25747405
1	25870075	25895377	NM_015627.2	0	+	LDLRAP1	18640	605747	ARH,ARH2,FHCB1,FHCB2,MGC34705,DKFZp586D0624	ENSG00000157978	ENST00000374338	25870189	25893483	25870075,25880412,25881350,25883643,25889134,25889560,25890151,25891663,25893338	25870277,25880555,25881463,25883758,25889207,25889644,25890282,25891698,25895377
1	26126666	26144713	NM_020451.2	0	+	SEPN1	15999	606210		ENSG00000162430	ENST00000361547	26126721	26142209	26126666,26127533,26128506,26131632,26135070,26135516,26136173,26137944,26138181,26139177,26140371,26140567,26142038	26126904,26127651,26128608,26131766,26135280,26135641,26136311,26138026,26138370,26139283,26140484,26140669,26144713
1	26364512	26372629	NM_001004434.2	0	-	SLC30A2	11013	609617		ENSG00000158014	ENST00000374276	26365650	26372387	26364512,26366267,26368190,26369039,26369888,26370788,26371487,26372337	26365796,26366402,26368296,26369199,26370042,26370935,26371708,26372629
1	26503980	26516375	NM_006314.2	0	+	CNKSR1	19700	603272	CNK1,KSR,CNK	ENSG00000142675	ENST00000374253	26504038	26516039	26503980,26506943,26507205,26508347,26508851,26508970,26509687,26509836,26510219,26510561,26510704,26510891,26511075,26511504,26513658,26513901,26514724,26514932,26515088,26515262,26515769	26504090,26507101,26507387,26508432,26508893,26509075,26509747,26509905,26510321,26510632,26510778,26510998,26511103,26511677,26513732,26513973,26514798,26514994,26515188,26515444,26516375
1	26758772	26797795	NM_024887.3	0	+	DHDDS	20603	608172	HDS,FLJ13102,DS,RP59	ENSG00000117682	ENST00000360009	26759436	26795622	26758772,26759381,26764658,26769221,26772806,26774049,26784281,26786527,26795382	26758867,26759499,26764775,26769364,26772923,26774151,26784396,26786635,26797795
1	27022521	27108601	NM_006015.4	0	+	ARID1A	11110	603024	B120,P270,C10rf4,BAF250,BAF250a	ENSG00000117713	ENST00000324856	27022894	27107247	27022521,27056141,27057642,27059166,27087346,27087874,27088642,27089463,27092711,27092947,27094280,27097609,27098990,27099302,27099836,27100070,27100292,27100819,27102067,27105513	27024031,27056354,27058095,27059283,27087587,27087964,27088810,27089776,27092857,27093057,27094490,27097817,27099123,27099478,27099987,27100208,27100389,27101711,27102198,27108601
1	27114453	27124894	NM_017837.3	0	+	PIGV	26031	610274	FLJ20477	ENSG00000060642	ENST00000078527	27117306	27124335	27114453,27117249,27120603,27124053	27114759,27117384,27121725,27124894
1	27276046	27286901	NM_152365.2	0	-	C1orf172	26624	616758		ENSG00000175707	ENST00000320567	27276559	27278871	27276046,27277172,27277832,27286840	27276642,27277247,27278903,27286901
1	27425299	27481621	NM_003047.4	0	-	SLC9A1	11071	107310	PPP1R143	ENSG00000090020	ENST00000263980	27426797	27480825	27425299,27427693,27428215,27428506,27428875,27429163,27429713,27432375,27434138,27436017,27440316,27480473	27427135,27427766,27428317,27428621,27429049,27429234,27429803,27432578,27434356,27436268,27440777,27481621
1	27695600	27701343	NM_003665.3	0	-	FCN3	3625	604973	FCNH,HAKA1	ENSG00000142748	ENST00000270879	27695726	27701309	27695600,27697086,27697333,27699626,27699978,27700455,27700846,27701218	27695968,27697221,27697463,27699754,27700011,27700500,27700942,27701343
1	27860755	27930005	NM_001029882.3	0	-	AHDC1	25230	615790	DJ159A19.3,RP1-159A19.1	ENSG00000126705	ENST00000374011	27873814	27878626	27860755,27873771,27879402,27879584,27884815,27885216,27929907	27861427,27878700,27879440,27879801,27885041,27885394,27930005
1	29213602	29446558	NM_004437.3	0	+	EPB41	3377	130500	4.1R	ENSG00000159023	ENST00000373800	29320000	29442309	29213602,29313959,29315867,29319841,29323726,29338376,29342203,29344735,29356911,29359604,29362337,29365765,29379615,29386933,29391493,29424318,29438879,29442210,29443330	29213722,29314417,29315947,29320054,29323831,29338419,29342279,29344954,29356999,29359757,29362435,29365938,29379824,29386996,29391670,29424447,29438960,29442315,29446558
1	29519168	29557470	NM_001024732.3	0	-	MECR	19691	608205	CGI-63,NRBF1,FASN2B,ETR1	ENSG00000116353	ENST00000373791	29520533	29543145	29519168,29522452,29522709,29527027,29528454,29529642,29533273,29542516,29543099,29557242	29520691,29522525,29522770,29527101,29528557,29529745,29533417,29542648,29543324,29557470
1	32665986	32670991	NM_024296.4	0	+	CCDC28B	28163	610162	MGC1203,RP4-622L5.5	ENSG00000160050	ENST00000373602	32667536	32670849	32665986,32667513,32669479,32669786,32670198,32670794	32666310,32667700,32669646,32669980,32670221,32670991
1	32739711	32751768	NM_001042771.2	0	+	LCK	6524	153390		ENSG00000182866	ENST00000333070	32739930	32751317	32739711,32739925,32740337,32740593,32740921,32741169,32741514,32741937,32742207,32745271,32745441,32745679,32751114	32739827,32740035,32740419,32740684,32741020,32741273,32741664,32742090,32742387,32745348,32745595,32745811,32751768
1	33240839	33283633	NM_003680.3	0	-	YARS	12840	603623	YTS,YRS,tyrRS	ENSG00000134684	ENST00000373477	33241581	33282845	33240839,33244982,33245685,33246648,33248004,33251962,33252540,33256762,33263363,33272082,33276191,33276511,33282788	33241692,33245124,33245879,33246746,33248140,33252048,33252676,33256855,33263444,33272212,33276367,33276658,33283633
