# Gene panel: Ciliopati-v6 -- Date: 2021-09-22
#chromosome	txStart	txEnd	refseq	source	score	strand	geneSymbol	HGNC	OMIM gene entry	geneAlias	inheritance	cdsStart	cdsEnd	exonStarts	exonEnds
1	3728650	3773775	NM_014704.4	MANE select	0	-	CEP104	24866	616690	GlyBP,RP1-286D6.4,CFAP256,ROC22,JBTS25	AR	3731965	3768971	3728650,3732843,3739737,3739987,3742321,3742933,3743271,3745829,3746354,3747609,3750425,3751488,3753058,3753855,3755527,3756171,3761470,3761852,3764038,3765171,3768858,3773452	3732081,3732934,3739805,3740126,3742430,3743000,3743308,3745937,3746561,3747786,3750599,3751656,3753256,3754083,3755683,3756340,3761547,3761915,3764177,3765345,3768985,3773775
1	5922870	6052485	NM_015102.5	MANE select	0	-	NPHP4	19104	607215	SLSN4,KIAA0673,POC10	AR	5923324	6046349	5922870,5923949,5924397,5925161,5926432,5927089,5927799,5933311,5934530,5934933,5937152,5940173,5947345,5950927,5964676,5965351,5965691,5967174,5969211,5987708,5993206,6007163,6008129,6012759,6021853,6027358,6029146,6038329,6046214,6052303	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387,6052485
1	68894504	68915637	NM_000329.3	MANE select	0	-	RPE65	10294	180069	LCA2,rd12,BCO3	AR	68895458	68915588	68894504,68896747,68896964,68897153,68903869,68904624,68904873,68905243,68906535,68910213,68910458,68912392,68914306,68915577	68895610,68896859,68897059,68897268,68903999,68904764,68905006,68905325,68906683,68910355,68910566,68912543,68914389,68915637
10	112658487	112678938	NM_001195305.3	MANE select	0	-	BBIP1	28093	613605	bA348N5.3,BBIP10,BBS18	AR	112660117	112677915	112658487,112661295,112677878,112678878	112660284,112661370,112677971,112678938
10	28101096	28288008	NM_018076.5	MANE select	0	-	ODAD2	25583	0	FLJ10817,FLJ10376,DKFZP434P1735,CILD23,gudu	AR	28101440	28284071	28101096,28149553,28151362,28196591,28223938,28225654,28228825,28229491,28233150,28233744,28250496,28257851,28260036,28270394,28272771,28273112,28273947,28276314,28283847,28287922	28101554,28149775,28151551,28196706,28224181,28225809,28228936,28229734,28233360,28233891,28250644,28257947,28260242,28270511,28272908,28273219,28274140,28276472,28284109,28288008
10	55562530	56560991	NM_001384140.1	MANE select	0	-	PCDH15	14674	605514	CDHR15	AR	55566338	56424022	55562530,55570315,55571308,55575998,55577754,55579924,55587152,55588324,55591074,55600079,55616934,55626401,55663002,55698574,55700625,55719491,55721511,55755408,55779951,55782651,55826516,55839090,55849743,55892634,55912859,55943203,55944893,55955442,55973695,55996582,56077030,56089355,56106124,56128879,56138541,56287571,56423931,56560684	55566890,55570424,55571379,55576037,55577773,55579990,55587308,55588333,55591293,55600256,55617023,55626617,55663130,55698715,55700735,55719604,55721652,55755525,55780176,55782957,55826645,55839184,55849823,55892767,55913053,55943353,55945028,55955649,55973808,55996691,56077201,56089466,56106244,56129035,56138702,56287637,56424050,56560991
10	72191691	72201437	NM_018055.5	MANE select	0	-	NODAL	7865	601265		AD	72192691	72201423	72191691,72195041,72201230	72192844,72195739,72201437
10	73156676	73575704	NM_022124.6	MANE select	0	+	CDH23	13733	605516	CDHR23	AR	73199588	73575035	73156676,73199583,73206074,73269838,73270710,73270876,73326498,73330546,73337670,73375260,73376961,73405581,73406215,73434868,73437212,73439143,73442201,73447403,73450224,73453903,73455174,73461778,73462305,73464667,73466653,73468854,73472421,73483801,73485128,73490225,73491743,73493996,73498251,73499400,73500578,73501450,73537436,73537945,73539023,73544043,73544647,73545387,73548696,73550044,73550888,73552938,73556860,73558110,73558867,73559248,73560392,73562654,73562965,73565562,73565924,73567033,73567272,73567602,73569576,73570228,73571071,73571267,73571469,73571711,73572236,73572524,73573000,73574708	73157075,73199655,73206152,73269981,73270758,73270969,73326693,73330675,73337749,73375373,73377150,73405737,73406374,73434933,73437450,73439249,73442329,73447476,73450341,73454016,73455282,73461968,73462451,73464887,73466806,73468968,73472570,73483862,73485277,73490361,73492132,73494098,73498404,73499529,73500707,73501678,73537658,73538065,73539204,73544177,73544857,73545495,73548799,73550170,73551092,73553397,73556977,73558335,73559037,73559386,73560512,73562832,73563177,73565754,73566038,73567163,73567524,73567764,73569833,73570326,73571192,73571347,73571510,73571772,73572366,73572647,73573105,73575704
10	97423157	97453684	NM_015631.6	MANE select	0	-	TCTN3	24519	613847	DKFZP564D116,TECT3,JBTS18	AR	97423823	97453656	97423157,97440228,97442407,97442857,97443278,97444255,97445312,97446251,97446800,97447003,97447348,97452676,97453109,97453400	97424057,97440366,97442561,97442952,97443386,97444381,97445393,97446287,97446916,97447112,97447476,97452795,97453233,97453684
11	102980154	103350591	NM_001377.3	MANE select	0	+	DYNC2H1	2962	603297	hdhc11,DHC2,DHC1b,DYH1B	AR	102980303	103349981	102980154,102984265,102984831,102985905,102987298,102988359,102991175,102991417,102991653,102992100,102993553,102995828,102999638,103004283,103005049,103006223,103006448,103013996,103018500,103019218,103022864,103024031,103025179,103025423,103026059,103027116,103029405,103029638,103031660,103033756,103036626,103039483,103040836,103041614,103043810,103044783,103046963,103048284,103049754,103052485,103055624,103056970,103058068,103059225,103060400,103062245,103062825,103068661,103069956,103070774,103074391,103075550,103080604,103082517,103086449,103090643,103091351,103092758,103093693,103101988,103104762,103106400,103107158,103114421,103115979,103124013,103126143,103126834,103128336,103130616,103151076,103152907,103153736,103156983,103158261,103173821,103175323,103178449,103182606,103187273,103191757,103194613,103228970,103270390,103306670,103325913,103327002,103339316,103349822	102980498,102984436,102984967,102986024,102987443,102988592,102991310,102991531,102991765,102992225,102993729,102996024,102999734,103004436,103005148,103006363,103006677,103014124,103018616,103019346,103023014,103024237,103025335,103025538,103026230,103027499,103029538,103029756,103031773,103033876,103036777,103039689,103041019,103041797,103044034,103044899,103047163,103048549,103049962,103052615,103055780,103057230,103058315,103059377,103060545,103062348,103062993,103068792,103070205,103070883,103074505,103075693,103080689,103082672,103086587,103090757,103091512,103092882,103093815,103102075,103104889,103106542,103107268,103114520,103116103,103124177,103126263,103126969,103128480,103130706,103151142,103152958,103153814,103157115,103158334,103173982,103175449,103178560,103182762,103187349,103191966,103194718,103229087,103270600,103306760,103326023,103327084,103339433,103350591
11	117198569	117283982	NM_014956.5	MANE select	0	+	CEP164	29182	614848	KIAA1052,NPHP15	AR	117209302	117282884	117198569,117206320,117209281,117214881,117222505,117232550,117233119,117234144,117241795,117244466,117246423,117251329,117252416,117253511,117257918,117261492,117261714,117262941,117263211,117263719,117265065,117265635,117265838,117266262,117266769,117267265,117267806,117278640,117279605,117280333,117281543,117282510,117282787	117198620,117206396,117209384,117214993,117222704,117232709,117233254,117234222,117242182,117244547,117246507,117251421,117252584,117253658,117258128,117261624,117261931,117263019,117263343,117263842,117265209,117265719,117265907,117266438,117266896,117267327,117268029,117278748,117279744,117280681,117281610,117282633,117283982
11	125757562	125770541	NM_001134793.2	MANE select	0	+	HYLS1	26558	610693	FLJ32915	AR	125769263	125770163	125757562,125761317,125769238	125757660,125761367,125770541
11	17515446	17565963	NM_153676.4	MANE select	0	-	USH1C	12597	605242	PDZ73,harmonin,NY-CO-37,NY-CO-38,PDZ-73,AIE-75,PDZD7C	AR	17515878	17565854	17515446,17517115,17518304,17519708,17522597,17523028,17523485,17526193,17527376,17530902,17531951,17533448,17537787,17542416,17542892,17544330,17544757,17544965,17545997,17547893,17548299,17548562,17548769,17552700,17552945,17554801,17565818	17515923,17517224,17518360,17519818,17522697,17523082,17523527,17526244,17527496,17531385,17532068,17533601,17537837,17542541,17542958,17544473,17544814,17545025,17546082,17547988,17548357,17548587,17548878,17552839,17553089,17554869,17565963
11	61129845	61136980	NM_016464.5	MANE select	0	+	TMEM138	26944	614459	HSPC196,JBTS16	AR	61131862	61136181	61129845,61131723,61133516,61135394,61136068	61129892,61131990,61133688,61135470,61136980
11	61160058	61166318	NM_001173990.3	MANE select	0	+	TMEM216	25018	613277	MGC13379,HSPC244,JBTS2	AR	61160103	61165748	61160058,61160702,61161355,61165245,61165741	61160137,61160804,61161448,61165447,61166318
11	66278105	66301069	NM_024649.5	MANE select	0	+	BBS1	966	209901	FLJ23590	AR	66278130	66299508	66278105,66278483,66278675,66281876,66283010,66283163,66283331,66287087,66288740,66290926,66291194,66293593,66294119,66297289,66298364,66299126,66299421	66278177,66278560,66278710,66282149,66283057,66283202,66283404,66287219,66288847,66291047,66291353,66293663,66294278,66297423,66298499,66299213,66301069
11	67222824	67229223	NM_145200.5	MANE select	0	+	CABP4	1386	608965	CSNB2B	AR	67222894	67226130	67222824,67223658,67223769,67225043,67225841,67226101	67223260,67223689,67223913,67225153,67225989,67229223
11	73662070	73681326	NM_153614.4	MANE select	0	+	DNAJB13	30718	610263	TSARG6,RSPH16A	AR	73662114	73681159	73662070,73669361,73670538,73675922,73677182,73679389,73680290,73681005	73662182,73669465,73670700,73676080,73677296,73679503,73680367,73681326
11	73723762	73882047	NM_001286577.2	MANE select	0	-	C2CD3	24564	615944	DKFZP586P0123	AR	73724429	73881837	73723762,73739331,73744395,73748522,73753098,73759249,73760381,73765651,73768450,73785297,73789159,73795925,73796662,73801857,73803460,73804860,73806272,73809053,73811569,73814175,73817415,73820078,73824824,73825428,73829272,73834032,73843888,73844469,73849764,73850649,73872443,73879388,73881782	73724570,73739443,73745323,73748743,73753263,73759383,73760587,73765716,73768589,73785645,73789762,73796015,73796931,73801981,73803633,73805044,73806453,73809300,73811721,73814670,73817538,73820197,73824937,73825638,73829427,73834180,73844017,73844602,73850012,73850873,73872601,73879658,73882047
11	76839291	76926286	NM_000260.4	MANE select	0	+	MYO7A	7606	276903	NSRD2	AD/AR	76841680	76925741	76839291,76841634,76853754,76858843,76866952,76867705,76867907,76868324,76869322,76870492,76871208,76872018,76873165,76873898,76877101,76883793,76885801,76886417,76888594,76890090,76890780,76891419,76892425,76892996,76893468,76894112,76895632,76900388,76901064,76901741,76903095,76905398,76908525,76909539,76910579,76912492,76913344,76914104,76915120,76916506,76917141,76918333,76919474,76919741,76922196,76922865,76923996,76924904,76925651	76839535,76841698,76853868,76858996,76867137,76867827,76868050,76868438,76869476,76870569,76871328,76872161,76873376,76874034,76877208,76883931,76885960,76886510,76888689,76890175,76890999,76891527,76892635,76893200,76893645,76894202,76895760,76900515,76901184,76901915,76903323,76905569,76908643,76909666,76910863,76912683,76913469,76914262,76915274,76916662,76917247,76918447,76919562,76919848,76922382,76922982,76924080,76925024,76926286
12	111051933	111087235	NM_001082538.3	MANE select	0	+	TCTN1	26113	0	FLJ21127,TECT1,JBTS13	AR	111051987	111085697	111051933,111057640,111064166,111066571,111070276,111072474,111074285,111078187,111078828,111079346,111080053,111082771,111085000,111085553,111086847	111052207,111057761,111064297,111066723,111070364,111072584,111074306,111078322,111078954,111079432,111080194,111082934,111085141,111085698,111087235
12	124155659	124192944	NM_024809.5	MANE select	0	+	TCTN2	25774	613846	FLJ12975,TECT2,MKS8,JBTS24	AR	124155787	124192260	124155659,124156053,124156602,124158161,124163735,124171382,124172597,124175079,124177204,124179388,124179766,124180961,124181633,124184250,124189078,124191272,124191531,124192150	124155869,124156161,124156679,124158357,124163836,124171582,124172724,124175221,124177270,124179523,124179844,124181042,124181745,124184357,124189235,124191398,124191620,124192944
12	49297915	49315359	NM_033124.5	MANE select	0	+	CCDC65	29937	611088	NYD-SP28,FLJ35732,FAP250,CFAP250,CILD27,DRC2	AR	49298119	49315226	49297915,49298728,49308186,49310752,49312057,49312467,49314712,49314950	49298251,49298896,49308356,49310891,49312255,49312686,49314865,49315359
12	6456012	6484729	NM_001038.6	MANE select	0	-	SCNN1A	10599	600228	ENaCalpha	AD	6457038	6483949	6456012,6457892,6458115,6458329,6458492,6463603,6463915,6464437,6464942,6471216,6472608,6483533,6484670	6457419,6457968,6458171,6458387,6458571,6463721,6464014,6464601,6465046,6471407,6472876,6484003,6484729
12	76738253	76742195	NM_024685.4	MANE select	0	-	BBS10	26291	610148	FLJ23560	AR	76739592	76742138	76738253,76741941	76741567,76742195
12	88442792	88535865	NM_025114.4	MANE select	0	-	CEP290	29021	610142	KIAA0373,FLJ13615,3H11Ag,rd16,NPHP6,JBTS5,SLSN6,LCA10,MKS4,BBS14,CT87,POC3	AR	88442960	88535084	88442792,88444130,88447428,88448116,88449352,88452624,88453674,88454606,88456468,88457757,88462298,88465070,88465557,88470998,88471473,88472868,88473958,88476807,88477623,88478362,88479815,88480167,88481556,88482808,88484504,88486457,88487546,88490664,88496614,88500451,88500772,88502842,88504978,88505470,88508196,88508874,88510809,88512259,88512419,88513890,88514773,88519022,88520092,88522722,88523470,88524044,88524321,88524941,88530419,88532921,88533271,88534732,88534982,88535676	88443191,88444210,88447523,88448190,88449494,88452797,88453797,88454771,88456555,88457892,88462422,88465226,88465703,88471121,88471695,88473006,88474172,88477007,88477731,88478629,88479950,88480275,88481721,88483264,88484616,88486609,88487752,88490776,88496788,88500682,88500875,88502958,88505128,88505635,88508339,88508959,88510922,88512347,88512520,88514053,88514943,88519146,88520215,88522812,88523653,88524197,88524342,88524995,88530563,88532968,88533341,88534810,88535111,88535865
12	94701474	94853643	NM_016122.3	MANE select	0	-	CEP83	17966	615847	NY-REN-58,NPHP18	AR	94702588	94806266	94701474,94703693,94706689,94725475,94727257,94729364,94761569,94761832,94763697,94769661,94772566,94794625,94796945,94805472,94806093,94829050,94853332	94702693,94703883,94706793,94725605,94727415,94729440,94761719,94761977,94763812,94769793,94772818,94794757,94797038,94805623,94806367,94829103,94853643
14	21748241	21819460	NM_020366.4	MANE select	0	+	RPGRIP1	13436	605446	RGI1,LCA6,CORD13	AD/AR	21756135	21819375	21748241,21756097,21762835,21769124,21770646,21771489,21775889,21778742,21779982,21780591,21785854,21788175,21789417,21790012,21792776,21793390,21793989,21795781,21796582,21798407,21802763,21811194,21813271,21816330,21819262	21748318,21756220,21762968,21769396,21770743,21771702,21775995,21778766,21780129,21780665,21786009,21788336,21789561,21790163,21793229,21793542,21794332,21795966,21796786,21798546,21802864,21811387,21813356,21816461,21819460
14	50091891	50101962	NM_018139.3	MANE select	0	-	DNAAF2	20188	612517	FLJ10563,KTU,PF13,CILD10	AR	50092259	50101867	50091891,50094729,50100004	50092766,50094873,50101962
14	58894436	59018015	NM_001329943.3	MANE select	0	+	KIAA0586	19960	610178	Talpid3,JBTS23	AR	58894982	59014650	58894436,58896080,58897365,58899105,58909423,58910671,58915057,58917296,58920067,58923419,58924476,58925190,58926560,58927703,58932552,58934452,58937330,58938916,58941324,58943840,58949230,58953724,58954604,58955338,58956881,58958861,58965500,58975272,58979239,59006788,59014498	58895181,58896151,58897435,58899175,58909598,58910893,58915211,58917464,58920191,58923528,58924697,58925263,58926788,58927878,58932747,58934640,58937441,58938997,58941515,58943959,58949430,58953884,58954827,58955592,58956958,58958993,58965678,58975427,58979345,59006854,59018015
14	68168602	68201168	NM_152443.3	MANE select	0	+	RDH12	19977	608830	FLJ30273,SDR7C2,LCA13,RP53	AD/AR	68189359	68200565	68168602,68187564,68189140,68191189,68191815,68192767,68193697,68195907,68200462	68168652,68187619,68189427,68191308,68191971,68192872,68193907,68196097,68201168
14	74111688	74170434	NM_031427.4	MANE select	0	+	DNAL1	23247	610062	MGC12435,1700010H15RiK,CILD16	AR	74111742	74162645	74111688,74121549,74125549,74128689,74138244,74153961,74156077,74162604	74111745,74121588,74125659,74128745,74138300,74154088,74156218,74170434
14	76452105	76550085	NM_001102564.3	MANE select	0	+	IFT43	29669	614068	FLJ32173,MGC16028	AR	76452129	76549920	76452105,76455227,76488669,76524984,76525669,76548637,76548959,76549569,76549800	76452183,76455320,76488737,76525017,76525716,76548710,76549035,76549632,76550085
14	88852000	88904804	NM_018418.5	MANE select	0	+	SPATA7	20423	609868	HSD3	AR	88852162	88904766	88852000,88857724,88859736,88862499,88883054,88892575,88893973,88895691,88897515,88899478,88903886,88904181	88852181,88857799,88859832,88862547,88883188,88893048,88894040,88895807,88897569,88899556,88903941,88904804
14	89290994	89344332	NM_144596.4	MANE select	0	+	TTC8	20087	608132	BBS8,RP51	AR	89291051	89343754	89290994,89300036,89305795,89307208,89307380,89307768,89310149,89319314,89323533,89327565,89336402,89337892,89338673,89341369,89343637	89291165,89300066,89305916,89307272,89307540,89307858,89310194,89319400,89323621,89327676,89336542,89338067,89338796,89341453,89344332
15	42066681	42120053	NM_014994.3	MANE select	0	+	MAPKBP1	29536	616786	KIAA0596,NPHP20	AR	42067473	42117634	42066681,42067364,42092020,42103080,42103375,42104154,42104713,42105116,42105818,42106747,42107456,42107821,42108756,42109107,42109585,42109811,42110206,42110391,42110716,42111020,42111443,42111792,42113029,42113781,42114162,42114422,42114790,42115136,42115644,42116681,42117406	42066808,42067587,42092112,42103143,42103433,42104325,42104851,42105299,42105979,42106937,42107603,42107997,42108848,42109233,42109656,42109933,42110282,42110503,42110780,42111155,42111577,42111848,42113266,42113948,42114308,42114620,42114875,42115420,42116259,42116767,42120053
15	55722505	55800432	NM_130810.4	MANE select	0	-	DNAAF4	21493	608706	EKN1,FLJ37882,CILD25	AR	55722867	55790527	55722505,55724694,55727102,55731669,55742419,55759127,55783320,55789909,55790404,55800319	55722977,55724800,55727256,55731779,55742565,55759359,55783454,55790057,55790782,55800432
15	72978547	73030814	NM_033028.5	MANE select	0	+	BBS4	969	600374		AR	72978568	73029928	72978547,72987517,73002040,73004584,73007631,73009118,73015134,73016868,73020280,73021956,73023645,73023895,73027453,73028165,73029102,73029818	72978592,72987569,73002120,73004648,73007743,73009191,73015188,73016996,73020335,73022025,73023798,73024067,73027523,73028307,73029304,73030814
15	90171207	90198698	NM_198525.3	MANE select	0	-	KIF7	30497	611254	JBTS12	AR	90171649	90196161	90171207,90172206,90172605,90173517,90174725,90176050,90176371,90176916,90185433,90188243,90188566,90189123,90190060,90190826,90191485,90192204,90192971,90195833,90198629	90172017,90172353,90172804,90173724,90174941,90176227,90176497,90177114,90185636,90188396,90188682,90189257,90190288,90190943,90192005,90192598,90193172,90196185,90198698
16	1560427	1662073	NM_014714.4	MANE select	0	-	IFT140	29077	614620	gs114,KIAA0590	AR	1560944	1657267	1560427,1568216,1569881,1570131,1570602,1573518,1573828,1574552,1574784,1575231,1575887,1576619,1607935,1611985,1613997,1616161,1618217,1621407,1630759,1633314,1634217,1636130,1637198,1637933,1639605,1642176,1642467,1652370,1657120,1660664,1661968	1561151,1568358,1570048,1570344,1570809,1573701,1573957,1574696,1574917,1575327,1576078,1576797,1608135,1612117,1614163,1616292,1618335,1621535,1630851,1633387,1634421,1636276,1637305,1638025,1639781,1642319,1642589,1652592,1657298,1660854,1662073
16	20344372	20364037	NM_003361.4	MANE select	0	-	UMOD	12559	191845		AD	20344635	20362059	20344372,20346803,20347967,20348612,20352412,20355345,20357447,20359544,20359757,20361971,20364010	20344697,20346842,20348049,20348775,20352658,20355494,20357656,20359652,20360534,20362161,20364037
16	23194065	23228204	NM_001039.4	MANE select	0	+	SCNN1G	10602	600761	ENaCgamma,SCNEG	AD	23197592	23226790	23194065,23197548,23200691,23203672,23205491,23208584,23221070,23223354,23223998,23224157,23224422,23226032,23226409	23194134,23197909,23200992,23203863,23205595,23208748,23221169,23223472,23224077,23224215,23224484,23226108,23228204
16	23313622	23392615	NM_000336.3	MANE select	0	+	SCNN1B	10600	600760	ENaCbeta	AD/AR	23359920	23392122	23313622,23359912,23364121,23366619,23379176,23382619,23383096,23387058,23388485,23388649,23390026,23391414,23391741	23313758,23360231,23364395,23366810,23379280,23382783,23383204,23387176,23388561,23388707,23390088,23391490,23392615
16	27561464	27791663	NM_015202.5	RefSeq select	0	+	KATNIP	29068	616650	JBTS26	AR	27561491	27789950	27561464,27585221,27629745,27639981,27642385,27659924,27689049,27692719,27709648,27710854,27712909,27715216,27720025,27732878,27751361,27760904,27763039,27765493,27772733,27777629,27781181,27782908,27784419,27786265,27788248,27788930,27789201,27789894	27561498,27585277,27629822,27640151,27642483,27660056,27689317,27692851,27709821,27710920,27713016,27715319,27720241,27733016,27752241,27761627,27763245,27765572,27772911,27777795,27781339,27782973,27784530,27786405,27788350,27789091,27789290,27791663
16	4366067	4389596	NM_032575.3	MANE select	0	+	GLIS2	29450	608539	NPHP7	AR	4382281	4387525	4366067,4382215,4383347,4384801,4385060,4385275,4386725	4366255,4382453,4383520,4384978,4385194,4385394,4389596
16	49521435	49890023	NM_001379286.1	MANE select	0	-	ZNF423	16762	604557	KIAA0760,OAZ,hOAZ,Ebfaz,Zfp104,NPHP14,JBTS19	AD/AR	49525185	49889685	49521435,49557534,49559273,49660080,49669570,49764681,49823397,49889645	49525215,49557650,49559405,49660165,49672785,49764882,49823457,49890023
16	53632064	53737771	NM_015272.5	MANE select	0	-	RPGRIP1L	29168	610937	KIAA1005,CORS3,JBTS7,MKS5,NPHP8,FTM,PPP1R134	AR	53635987	53734635	53632064,53639392,53644878,53652936,53656130,53670350,53671606,53672221,53674944,53675196,53679536,53682875,53686446,53690383,53691364,53692325,53692683,53698781,53705421,53706781,53708928,53720344,53721774,53725977,53730062,53734550,53737714	53636100,53639526,53644963,53653120,53656268,53670424,53671766,53672323,53675028,53675387,53679915,53683027,53686899,53690501,53691544,53692376,53692790,53698921,53705495,53706928,53709034,53720488,53721877,53726276,53730207,53734642,53737771
16	56518296	56553936	NM_031885.5	MANE select	0	-	BBS2	967	606151		AR	56518672	56553774	56518296,56519501,56530878,56531654,56532348,56533689,56534765,56535264,56536228,56536584,56539861,56540031,56543868,56544770,56545070,56548364,56553657	56518779,56519650,56530991,56531792,56532480,56533819,56534937,56535409,56536368,56536720,56539948,56540136,56543946,56544833,56545196,56548592,56553936
16	75570638	75590150	NM_001077418.3	MANE select	0	-	TMEM231	37234	614949	FLJ22167,ALYE870,PRO1886,JBTS20,MKS11	AR	75573891	75590107	75570638,75575247,75576499,75579249,75579723,75589701,75589968	75574072,75575353,75576581,75579393,75579852,75589871,75590150
16	84178912	84211524	NM_178452.6	MANE select	0	+	DNAAF1	30539	613190	FLJ25330,ODA7,CILD13,swt,DAU1	AR	84179045	84211447	84178912,84182611,84183855,84188181,84189187,84193279,84199388,84203464,84205865,84208274,84209538,84211334	84179169,84182747,84183947,84188403,84189354,84193401,84199555,84203962,84205981,84208328,84209905,84211524
16	90089087	90111368	NM_001481.3	MANE select	0	+	GAS8	4166	605178	DRC4	AR	90089129	90109753	90089087,90094043,90097706,90099125,90102040,90102788,90103639,90104169,90106707,90108877,90109603	90089132,90094130,90097904,90099332,90102095,90102994,90103807,90104256,90106917,90108943,90111368
17	19246369	19266036	NM_015681.5	RefSeq select	0	-	B9D1	24123	614144	B9,EPPB9,MKS9,MKSR-1	AR	19246631	19265882	19246369,19247102,19250581,19251096,19261152,19263632,19265819	19246774,19247170,19250644,19251193,19261264,19263701,19266036
17	1933446	1947192	NM_001383.6	MANE select	0	+	DPH1	3003	603527	OVCA1	AR	1933463	1945151	1933446,1936798,1937072,1939263,1939822,1940128,1943048,1943511,1943798,1944396,1944774,1945061,1945898	1933524,1936951,1937136,1939385,1939980,1940250,1943117,1943668,1943899,1944475,1944915,1945169,1947192
17	27055805	27070473	NM_178170.3	MANE select	0	+	NEK8	13387	609799	NPHP9	AD/AR	27055831	27069005	27055805,27061000,27061789,27062257,27064323,27064692,27064836,27065112,27065688,27066101,27067480,27067839,27068095,27068430,27068976	27055878,27061206,27062022,27062389,27064532,27064754,27065018,27065263,27065765,27066219,27067631,27068003,27068254,27068589,27070473
