# Genepanel: Ciliopati Version: 04 Date: 2017-03-02 Post-processed: 2017-03-10
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	HGNC	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
4	122745483	122791652	NM_176824.2	0	-	BBS7	18758	FLJ10715,BBS2L1	ENSG00000138686	ENST00000264499	122747014	122791468	122745483,122749300,122749556,122749773,122754385,122756298,122760785,122765081,122766658,122768558,122769998,122774110,122775858,122776643,122780146,122782658,122784371,122789135,122791432	122747148,122749424,122749660,122749883,122754550,122756438,122760851,122765156,122766851,122768661,122770083,122774241,122775975,122776716,122780333,122782834,122784434,122789201,122791652
7	33169151	33645680	NM_198428.2	0	+	BBS9	30000	B1,PTHB1	ENSG00000122507	ENST00000242067	33185864	33644838	33169151,33185853,33192312,33195249,33217089,33296847,33303901,33312623,33313438,33376052,33380508,33384192,33388679,33390830,33392470,33397466,33407378,33423277,33427603,33545074,33573565,33644476,33644806	33169653,33185976,33192463,33195314,33217203,33297022,33303986,33312807,33313568,33376234,33380585,33384246,33388782,33390935,33392485,33397607,33407474,33423450,33427756,33545257,33573788,33644587,33645680
21	33973983	33984918	NM_021254.2	0	-	C21orf59	1301	FLJ20467,FBB18,CILD26,Kur	ENSG00000159079	ENST00000290155	33974172	33984553	33973983,33974581,33975470,33976434,33979958,33982147,33984414	33974283,33974677,33975602,33976593,33980026,33982315,33984918
11	73745476	73882064	NM_015531.5	0	-	C2CD3	24564	DKFZP586P0123	ENSG00000168014	ENST00000313663	73745642	73881837	73745476,73748522,73753098,73759249,73760381,73765651,73768450,73785297,73789159,73795925,73796662,73801857,73803460,73804860,73806272,73809053,73811569,73814175,73817415,73820078,73824824,73825428,73829272,73834032,73843888,73844469,73849764,73850649,73872443,73879388,73881782	73745653,73748743,73753263,73759383,73760587,73765716,73768589,73785645,73789762,73796015,73796931,73801981,73803633,73805044,73806453,73809300,73811721,73814670,73817538,73820197,73824937,73825638,73829427,73834180,73844017,73844602,73850012,73850873,73872601,73879658,73882064
2	29284555	29297127	NM_001029883.2	0	-	C2orf71	34383	FLJ34931,RP54	ENSG00000179270	ENST00000331664	29287734	29297127	29284555,29293459	29287933,29297127
5	37106329	37249530	NM_023073.3	0	-	C5orf42	25801	FLJ13231,JBTS17,Hug	ENSG00000197603	ENST00000425232	37107703	37247800	37106329,37108394,37115061,37120317,37121718,37122531,37125345,37138821,37139441,37142411,37148282,37153841,37157771,37158325,37162566,37164374,37165640,37167148,37168892,37170142,37173856,37176010,37177722,37179462,37180118,37180958,37182861,37184889,37186387,37187515,37187834,37195959,37198803,37201692,37205416,37206298,37213660,37221425,37224354,37224633,37226405,37227344,37227669,37230968,37238958,37239814,37243114,37244476,37245580,37245811,37247719,37249346	37107880,37108573,37115151,37120442,37121886,37122590,37125511,37138950,37139472,37142582,37148370,37154095,37157916,37158447,37162668,37164429,37165773,37167315,37169663,37170433,37174049,37176088,37177802,37179545,37180285,37181107,37183801,37185181,37186496,37187674,37187944,37196098,37198968,37201910,37205556,37206527,37213834,37221590,37224435,37224842,37227175,37227494,37227919,37231151,37239062,37239971,37243221,37244709,37245700,37245947,37247847,37249530
11	67222817	67229245	NM_145200.3	0	+	CABP4	1386	CSNB2B	ENSG00000175544	ENST00000325656	67222894	67226130	67222817,67223658,67223769,67225043,67225841,67226101	67223260,67223689,67223913,67225153,67225989,67229245
4	15471488	15603180	NM_001080522.2	0	+	CC2D2A	29253	KIAA1345,MKS6,JBTS9	ENSG00000048342	ENST00000503292	15477556	15603048	15471488,15474845,15477538,15480346,15482327,15504051,15504444,15511761,15512869,15516329,15517490,15518247,15529069,15530242,15534815,15538542,15539521,15542459,15552446,15554780,15556694,15558926,15560787,15562153,15564977,15568999,15569299,15570915,15572020,15575772,15581590,15587779,15589438,15591167,15597707,15599029,15601151,15602859	15471681,15474879,15477595,15480430,15482451,15504140,15504546,15511863,15513046,15516492,15517627,15518379,15529279,15530349,15534956,15538699,15539760,15542637,15552603,15554928,15556833,15559130,15560880,15562245,15565145,15569105,15569409,15571012,15572119,15575949,15581794,15587869,15589552,15591302,15597830,15599088,15601329,15603180
17	42977079	42981047	NM_213607.2	0	+	CCDC103	32700	FLJ13094,FLJ34211,PR46b,CILD17	ENSG00000167131	ENST00000417826	42978366	42980185	42977079,42978357,42978887,42979732	42977227,42978509,42979020,42981047
18	47753562	47792865	NM_145020.3	0	-	CCDC11	26530		ENSG00000172361	ENST00000398545	47753750	47792774	47753562,47764972,47769269,47777127,47777850,47787433,47788359,47792705	47753979,47765075,47769486,47777346,47778154,47787607,47788589,47792865
19	48799708	48823332	NM_144577.3	0	-	CCDC114	26560	FLJ32926,CILD20	ENSG00000105479	ENST00000315396	48800232	48822028	48799708,48800846,48801256,48801433,48805950,48806269,48806906,48807209,48809512,48814809,48815250,48821643,48821969,48822690	48800775,48800925,48801354,48801597,48806119,48806352,48807041,48807397,48809580,48814923,48815373,48821833,48822069,48823332
19	11531271	11545980	NM_145045.4	0	-	CCDC151	28303	MGC20983	ENSG00000198003	ENST00000356392	11531502	11545837	11531271,11531795,11532344,11533138,11533368,11534545,11536963,11537265,11537502,11537692,11541518,11541718,11545593	11531615,11531880,11532500,11533295,11533529,11534698,11537086,11537391,11537604,11537860,11541596,11541840,11545980
1	32665986	32670991	NM_024296.4	0	+	CCDC28B	28163	MGC1203,RP4-622L5.5	ENSG00000160050	ENST00000373602	32667536	32670849	32665986,32667513,32669479,32669786,32670198,32670794	32666310,32667700,32669646,32669980,32670221,32670991
3	180331795	180397283	NM_181426.1	0	-	CCDC39	25244	DKFZp434A128,CILD14,FAP59	ENSG00000145075	ENST00000442201	180332708	180397168	180331795,180334068,180334303,180334613,180337046,180337598,180349256,180359780,180361907,180364866,180365952,180369188,180369950,180372549,180377239,180377464,180378357,180379648,180381654,180397078	180332865,180334151,180334483,180334754,180337153,180337758,180349380,180359989,180362045,180365031,180366147,180369321,180370054,180372741,180377368,180377557,180378516,180379795,180381774,180397283
17	78010430	78074412	NM_017950.3	0	+	CCDC40	26090	FLJ20753,KIAA1640,FLJ32021,CILD15,FAP172	ENSG00000141519	ENST00000397545	78010461	78073574	78010430,78011921,78013610,78021077,78022381,78023704,78023862,78032292,78032656,78039283,78055344,78055674,78058541,78059801,78061405,78061809,78063562,78069061,78071043,78073325	78010490,78011985,78014069,78021201,78022560,78023788,78024082,78032450,78032779,78039405,78055588,78055857,78058787,78060015,78061575,78061901,78063683,78069250,78071202,78074412
12	94702055	94853764	NM_016122.2	0	-	CCDC41	17966		ENSG00000173588	ENST00000397809	94702588	94806266	94702055,94703693,94706689,94725475,94727257,94729364,94761569,94761832,94763697,94769661,94772566,94794625,94796945,94805472,94806093,94829050,94853332	94702693,94703883,94706793,94725605,94727415,94729440,94761719,94761977,94763812,94769793,94772818,94794757,94797038,94805623,94806367,94829103,94853764
12	49297892	49315359	NM_033124.4	0	+	CCDC65	29937	NYD-SP28,FLJ35732,FAP250,CFAP250,CILD27,DRC2	ENSG00000139537	ENST00000320516	49298119	49315226	49297892,49298728,49308186,49310752,49312057,49312467,49314712,49314950	49298251,49298896,49308356,49310891,49312255,49312686,49314865,49315359
5	54526980	54529545	NM_021147.4	0	-	CCNO	18576	UDG2,FLJ22422,UNG2	ENSG00000152669	ENST00000282572	54527202	54529351	54526980,54528188,54528970	54527688,54528374,54529545
10	73156690	73575704	NM_022124.5	0	+	CDH23	13733	CDHR23	ENSG00000107736	ENST00000224721	73199588	73575035	73156690,73199583,73206074,73269838,73270710,73270876,73326498,73330546,73337670,73375260,73376961,73405581,73406215,73434868,73437212,73439143,73442201,73447403,73450224,73453903,73455174,73461778,73462305,73464667,73466653,73468854,73472421,73483801,73485128,73490225,73491743,73493996,73498251,73499400,73500578,73501450,73537436,73537945,73539023,73544043,73544647,73545387,73548696,73550044,73550888,73552938,73556860,73558110,73558867,73559248,73560392,73562654,73562965,73565562,73565924,73567033,73567272,73567602,73569576,73570228,73571071,73571267,73571469,73571711,73572236,73572524,73573000,73574708	73157075,73199655,73206152,73269981,73270758,73270969,73326693,73330675,73337749,73375373,73377150,73405737,73406374,73434933,73437450,73439249,73442329,73447476,73450341,73454016,73455282,73461968,73462451,73464887,73466806,73468968,73472570,73483862,73485277,73490361,73492132,73494098,73498404,73499529,73500707,73501678,73537658,73538065,73539204,73544177,73544857,73545495,73548799,73550170,73551092,73553397,73556977,73558335,73559037,73559386,73560512,73562832,73563177,73565754,73566038,73567163,73567524,73567764,73569833,73570326,73571192,73571347,73571510,73571772,73572366,73572647,73573105,73575704
1	3728644	3773797	NM_014704.3	0	-	CEP104	24866	GlyBP,RP1-286D6.4,CFAP256,ROC22,JBTS25	ENSG00000116198	ENST00000378230	3731965	3768971	3728644,3732843,3739737,3739987,3742321,3742933,3743271,3745829,3746354,3747609,3750425,3751488,3753058,3753855,3755527,3756171,3761470,3761852,3764038,3765171,3768858,3773452	3732081,3732934,3739805,3740126,3742430,3743000,3743308,3745937,3746561,3747786,3750599,3751656,3753256,3754083,3755683,3756340,3761547,3761915,3764177,3765345,3768985,3773797
5	122680578	122759286	NM_153223.3	0	-	CEP120	26690	FLJ36090	ENSG00000168944	ENST00000328236	122682212	122758692	122680578,122685637,122700189,122708343,122713067,122714029,122717804,122718430,122718679,122720644,122722211,122724125,122725617,122726803,122728993,122734829,122748092,122751703,122754052,122758643,122759202	122682447,122685783,122700288,122708466,122713229,122714122,122717894,122718583,122718776,122720827,122722361,122724300,122725834,122727031,122729191,122734978,122748234,122751818,122754209,122758724,122759286
11	117198570	117283982	NM_014956.4	0	+	CEP164	29182	KIAA1052,NPHP15	ENSG00000110274	ENST00000278935	117209302	117282884	117198570,117206320,117209281,117214881,117222505,117232550,117233119,117234144,117241795,117244466,117246423,117251329,117252416,117253511,117257918,117261492,117261714,117262941,117263211,117263719,117265065,117265635,117265838,117266262,117266769,117267265,117267806,117278640,117279605,117280333,117281543,117282510,117282787	117198620,117206396,117209384,117214993,117222704,117232709,117233254,117234222,117242182,117244547,117246507,117251421,117252584,117253658,117258128,117261624,117261931,117263019,117263343,117263842,117265209,117265719,117265907,117266438,117266896,117267327,117268029,117278748,117279744,117280681,117281610,117282633,117283982
12	88442789	88535993	NM_025114.3	0	-	CEP290	29021	KIAA0373,FLJ13615,3H11Ag,rd16,NPHP6,JBTS5,SLSN6,LCA10,MKS4,BBS14,CT87,POC3	ENSG00000198707	ENST00000552810	88442960	88535084	88442789,88444130,88447428,88448116,88449352,88452624,88453674,88454606,88456468,88457757,88462298,88465070,88465557,88470998,88471473,88472868,88473958,88476807,88477623,88478362,88479815,88480167,88481556,88482808,88484504,88486457,88487546,88490664,88496614,88500451,88500772,88502842,88504978,88505470,88508196,88508874,88510809,88512259,88512419,88513890,88514773,88519022,88520092,88522722,88523470,88524044,88524321,88524941,88530419,88532921,88533271,88534732,88534982,88535676	88443191,88444210,88447523,88448190,88449494,88452797,88453797,88454771,88456555,88457892,88462422,88465226,88465703,88471121,88471695,88473006,88474172,88477007,88477731,88478629,88479950,88480275,88481721,88483264,88484616,88486609,88487752,88490776,88496788,88500682,88500875,88502958,88505128,88505635,88508339,88508959,88510922,88512347,88512520,88514053,88514943,88519146,88520215,88522812,88523653,88524197,88524342,88524995,88530563,88532968,88533341,88534810,88535111,88535993
7	130033611	130081051	NM_018718.2	0	-	CEP41	12370	DKFZp762H1311,FLJ22445,JBTS15	ENSG00000106477	ENST00000223208	130038731	130080807	130033611,130039879,130040547,130041721,130042488,130044404,130050962,130052019,130056759,130067795,130080774	130038880,130040095,130040662,130041789,130042640,130044549,130051032,130052081,130056807,130067859,130081051
3	150644353	150690786	NM_174878.2	0	-	CLRN1	12605		ENSG00000163646	ENST00000327047	150645722	150690495	150644353,150659368,150690242	150645988,150659548,150690786
1	197237333	197447585	NM_201253.2	0	+	CRB1	2343	LCA8	ENSG00000134376	ENST00000367400	197237542	197447009	197237333,197297551,197313410,197316469,197325960,197390129,197396583,197398578,197403835,197407676,197411295,197446793	197237612,197298133,197313606,197316609,197326143,197391086,197397131,197398744,197404742,197407805,197411422,197447585
3	9975523	9987097	NM_015513.4	0	+	CRELD1	14630		ENSG00000163703	ENST00000383811	9976122	9986263	9975523,9976518,9979245,9979698,9982533,9982794,9984496,9984760,9985064,9986048	9976296,9976601,9979356,9979790,9982710,9982890,9984580,9984856,9985199,9987097
19	48325098	48346586	NM_000554.4	0	+	CRX	2383	CRD,LCA7,OTX3	ENSG00000105392	ENST00000221996	48337700	48343224	48325098,48337665,48339499,48342576	48325267,48337800,48339651,48346586
8	67976602	68108849	NM_024790.6	0	+	CSPP1	26193	FLJ22490,CSPP,JBTS21	ENSG00000104218	ENST00000262210	67976633	68107828	67976602,67986477,67988716,67998241,68005777,68007527,68015271,68018139,68024206,68026039,68028148,68030482,68030977,68044185,68049690,68062017,68066258,68070681,68071225,68074045,68075966,68076625,68084650,68087530,68089914,68092097,68102884,68105698,68107616	67976731,67986586,67988816,67998345,68005876,68007967,68015370,68018210,68024300,68026097,68028357,68030604,68031056,68044315,68049838,68062170,68066371,68070831,68071372,68074150,68076033,68076743,68084790,68087671,68089961,68092161,68102994,68105837,68108849
6	24171982	24358280	NM_016356.4	0	-	DCDC2	18141	RU2,KIAA1154,DCDC2A,NPHP19	ENSG00000146038	ENST00000378454	24174957	24357978	24171982,24178557,24205229,24278276,24289079,24291159,24301942,24302195,24353796,24357685	24175062,24178860,24205330,24278439,24289134,24291306,24302074,24302272,24353851,24358280
1	200613164	200639126	NM_001031725.4	0	-	DDX59	25360	DKFZP564B1023,ZNHIT5	ENSG00000118197	ENST00000331314	200613381	200635868	200613164,200617566,200618201,200619552,200628154,200633046,200635064,200638894	200613645,200617695,200618354,200619804,200628244,200633214,200635879,200639126
16	84178864	84211524	NM_178452.4	0	+	DNAAF1	30539	FLJ25330,ODA7,CILD13,swt	ENSG00000154099	ENST00000378553	84179045	84211447	84178864,84182611,84183855,84188181,84189187,84193279,84199388,84203464,84205865,84208274,84209538,84211334	84179169,84182747,84183947,84188403,84189354,84193401,84199555,84203962,84205981,84208328,84209905,84211524
14	50091891	50101948	NM_018139.2	0	-	DNAAF2	20188	FLJ10563,KTU,PF13,CILD10	ENSG00000165506	ENST00000298292	50092259	50101867	50091891,50094729,50100004	50092766,50094873,50101948
19	55670028	55678090	NM_001256714.1	0	-	DNAAF3	30492	FLJ40069,FLJ36139,PF22,PCD	ENSG00000167646	ENST00000527223	55670429	55678016	55670028,55670900,55671266,55672007,55672432,55672660,55673010,55673500,55676737,55677225,55677696,55677879	55670817,55670975,55671378,55672143,55672555,55672786,55673193,55673658,55676831,55677431,55677785,55678090
7	21582832	21941186	NM_001277115.1	0	+	DNAH11	2942	Dnahc11,DPL11,CILD7,DNAHC11,DNAHBL,DNHBL	ENSG00000105877	ENST00000409508	21582863	21940872	21582832,21584623,21598419,21599220,21600688,21603803,21609686,21611423,21621522,21627681,21628129,21628825,21630535,21630802,21639404,21640293,21640627,21641013,21646043,21646264,21654731,21655826,21657236,21658717,21659573,21675488,21677228,21678556,21695449,21698415,21721163,21723401,21726716,21726999,21730382,21737692,21742327,21744051,21745077,21747316,21750170,21751329,21757392,21760342,21765428,21775257,21778318,21779188,21781544,21784055,21784487,21788197,21789295,21789839,21805045,21813383,21818575,21824044,21826241,21827018,21828858,21840754,21847500,21856084,21857834,21882161,21892084,21893932,21901470,21904152,21906087,21907476,21908481,21912891,21920319,21923908,21932042,21934240,21934501,21938953,21939597,21940624	21583214,21584767,21598616,21599410,21600788,21604015,21609917,21611591,21621639,21627819,21628254,21629021,21630640,21631195,21639737,21640548,21640797,21641236,21646160,21646351,21654890,21655910,21657395,21658840,21659696,21675713,21677320,21678683,21695599,21698649,21721295,21723562,21726873,21727145,21730499,21737831,21742420,21744246,21745155,21747453,21750321,21751478,21757543,21760474,21765602,21775462,21778484,21779291,21781784,21784217,21784681,21788360,21789419,21789982,21805207,21813617,21818722,21824158,21826385,21827201,21828960,21840893,21847667,21856320,21857957,21882366,21892249,21894073,21901641,21904275,21906281,21907625,21908609,21913119,21920511,21924028,21932285,21934423,21934617,21939066,21939738,21941186
5	13690436	13944589	NM_001369.2	0	-	DNAH5	2950	Dnahc5,HL1,PCD,CILD3,KTGNR	ENSG00000039139	ENST00000265104	13692092	13944547	13690436,13700748,13701392,13708231,13714513,13716595,13717423,13718990,13721108,13727615,13729547,13735239,13735926,13737360,13751186,13752242,13753341,13754311,13758954,13762830,13766084,13769068,13769609,13770857,13776547,13777310,13780937,13786287,13788824,13792102,13793623,13794044,13807699,13809152,13810167,13811755,13814713,13817656,13820454,13823371,13824307,13829618,13830134,13830705,13839464,13841014,13841800,13844945,13850760,13859560,13862656,13864505,13865776,13866328,13867882,13870875,13871672,13876792,13882836,13883012,13885097,13886072,13891084,13894758,13900314,13901360,13902161,13911494,13913851,13914628,13916456,13917251,13919284,13920588,13922215,13923388,13928202,13931218,13944490	13692244,13700980,13701545,13708444,13714729,13716799,13717629,13719210,13721354,13727765,13729669,13735430,13736041,13737604,13751369,13752398,13753658,13754447,13759092,13763010,13766288,13769245,13769724,13771089,13776815,13777464,13781068,13786460,13789023,13792326,13793837,13794167,13807834,13809295,13810369,13811932,13814955,13817803,13820608,13823479,13824442,13829813,13830322,13830884,13839637,13841239,13842013,13845102,13850924,13859714,13862856,13864746,13866015,13866391,13868101,13871111,13871874,13876926,13882924,13883203,13885337,13886238,13891230,13894930,13900521,13901682,13902247,13911602,13914067,13914751,13916564,13917365,13919461,13920726,13922437,13923549,13928287,13931353,13944589
9	34458749	34520987	NM_012144.3	0	+	DNAI1	2954	DIC1,PCD,CILD1	ENSG00000122735	ENST00000242317	34459003	34520754	34458749,34483445,34485139,34485434,34489320,34490009,34490366,34491492,34493191,34497112,34500719,34501135,34506624,34512106,34512334,34513109,34514391,34514637,34517282,34520655	34459051,34483478,34485238,34485515,34489447,34490122,34490486,34491552,34493326,34497197,34500837,34501179,34506872,34512196,34512422,34513189,34514540,34514737,34517465,34520987
17	72270385	72311023	NM_023036.4	0	+	DNAI2	18744	CILD9,DIC2	ENSG00000171595	ENST00000582036	72277956	72310355	72270385,72277945,72281178,72283115,72285732,72287158,72295856,72297184,72301357,72305391,72306155,72308141,72310259,72310727	72270484,72278139,72281340,72283237,72285875,72287272,72295996,72297307,72301581,72305527,72306302,72308369,72310410,72311023
11	73661363	73681332	NM_153614.3	0	+	DNAJB13	30718	TSARG6,RSPH16A	ENSG00000187726	ENST00000339764	73662114	73681159	73661363,73669361,73670538,73675922,73677182,73679389,73680290,73681005	73662182,73669465,73670700,73676080,73677296,73679503,73680367,73681332
14	74111577	74170431	NM_031427.3	0	+	DNAL1	23247	MGC12435,1700010H15RiK,CILD16	ENSG00000119661	ENST00000553645	74111742	74162645	74111577,74121549,74125549,74128689,74138244,74153961,74156077,74162604	74111745,74121588,74125659,74128745,74138300,74154088,74156218,74170431
17	1933430	1946725	NM_001383.3	0	+	DPH1	3003	OVCA1	ENSG00000108963	ENST00000263083	1933448	1945151	1933430,1936798,1937072,1939263,1939822,1940128,1943048,1943511,1943798,1944396,1944774,1945061,1945898	1933524,1936951,1937136,1939385,1939980,1940250,1943117,1943668,1943899,1944475,1944915,1945169,1946725
2	26624783	26679579	NM_145038.3	0	+	DRC1	24245	MGC16372,FLJ32660,CILD21	ENSG00000157856	ENST00000288710	26624857	26679385	26624783,26637211,26644155,26647138,26652495,26653653,26654751,26663245,26667089,26667583,26671558,26672863,26673459,26676187,26677514,26677998,26679328	26625012,26637299,26644268,26647322,26652633,26653740,26654874,26663385,26667224,26667816,26671671,26672953,26673549,26676417,26677658,26678101,26679579
11	102980159	103350591	NM_001080463.1	0	+	DYNC2H1	2962	hdhc11,DHC2,DHC1b,DYH1B	ENSG00000187240	ENST00000375735	102980303	103349981	102980159,102984265,102984831,102985905,102987298,102988359,102991175,102991417,102991653,102992100,102993553,102995828,102999638,103004283,103005049,103006223,103006448,103013996,103018500,103019218,103022864,103024031,103025179,103025423,103026059,103027116,103029405,103029638,103031660,103033756,103036626,103039483,103040836,103041614,103043810,103044783,103046963,103048284,103049754,103052485,103055624,103056970,103058068,103059225,103060400,103062245,103062825,103068661,103069956,103070774,103074391,103075550,103080604,103082517,103086449,103090643,103091351,103092758,103093693,103101988,103104762,103106400,103107158,103112255,103114421,103115979,103124013,103126143,103126834,103128336,103130616,103151076,103152907,103153736,103156983,103158261,103173821,103175323,103178449,103182606,103187273,103191757,103194613,103228970,103270390,103306670,103325913,103327002,103339316,103349822	102980498,102984436,102984967,102986024,102987443,102988592,102991310,102991531,102991765,102992225,102993729,102996024,102999734,103004436,103005148,103006363,103006677,103014124,103018616,103019346,103023014,103024237,103025335,103025538,103026230,103027499,103029538,103029756,103031773,103033876,103036777,103039689,103041019,103041797,103044034,103044899,103047163,103048549,103049962,103052615,103055780,103057230,103058315,103059377,103060545,103062348,103062993,103068792,103070205,103070883,103074505,103075693,103080689,103082672,103086587,103090757,103091512,103092882,103093815,103102075,103104889,103106542,103107268,103112276,103114520,103116103,103124177,103126263,103126969,103128480,103130706,103151142,103152958,103153814,103157115,103158334,103173982,103175449,103178560,103182762,103187349,103191966,103194718,103229087,103270600,103306760,103326023,103327084,103339433,103350591
2	44001177	44037149	NM_001193464.1	0	+	DYNC2LI1	24595	D2LIC,LIC3,CGI-60,DKFZP564A033	ENSG00000138036	ENST00000260605	44001277	44036906	44001177,44003920,44010658,44014319,44016771,44021595,44023025,44023856,44027979,44028777,44031780,44032292,44036843	44001285,44004038,44010693,44014389,44016860,44021782,44023097,44023934,44028056,44028848,44031878,44032385,44037149
