# Genepanel: Ciliopati Version: 05 Date: 2017-04-21
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment
DNAH5	2950	Ciliary dyskinesia, primary, 3, with or without situs inversus	AR	608644			
DNAI1	2954	Ciliary dyskinesia, primary, 1, with or without situs inversus	AR	244400			
DNAI2	18744	Ciliary dyskinesia, primary, 9, with or without situs inversus	AR	612444			
DNAJB13	30718	Ciliary dyskinesia, primary, 34	AR	617091			
DNAL1	23247	Ciliary dyskinesia, primary, 16	AR	614017			
DPH1	3003	Developmental delay with short stature, dysmorphic features, and sparse hair	AR	616901			
DRC1	24245	Ciliary dyskinesia, primary, 21	AR	615294			
DYNC2H1	2962	Short-rib thoracic dysplasia 3 with or without polydactyly	AR;DR	613091			
DYNC2LI1	24595	Short-rib throacic dysplasia 15 with polydactyly	AR	617088			
DYX1C1	21493	Ciliary dyskinesia, primary, 25	AR	615482			
EVC	3497	Ellis-van Creveld syndrome	AR	225500			
EVC	3497	Weyers acrodental dysostosis	AD	193530			
EVC2	19747	Weyers acrofacial dysostosis	AD	193530			
EVC2	19747	Ellis-van Creveld syndrome	AR	225500			
GAS8	4166	Ciliary dyskinesia, primary, 33	AR	616726			
GDF6	4221	Leber congenital amaurosis 17	AR	615360			
GDF6	4221	Klippel-Feil syndrome 1, autosomal dominant	AD	118100			
GLI3	4319	Greig cephalopolysyndactyly syndrome	AD	175700			
GLI3	4319	Polydactyly, preaxial, type IV	AD	174700			
GLI3	4319	Polydactyly, postaxial, types A1 and B	AD	174200			
GLI3	4319	Pallister-Hall syndrome	AD	146510			
GLIS2	29450	Nephronophthisis 7	AR	611498			
GPR98	17416	Usher syndrome, type 2C	AR	605472			
GPR98	17416	Usher syndrome, type 2C, GPR98/PDZD7 digenic	AR	605472			
GUCY2D	4689	Leber congenital amaurosis 1	AR	204000			
GUCY2D	4689	Cone-rod dystrophy 6	AD	601777			
HEATR2	26013	Ciliary dyskinesia, primary, 18	AR	614874			
HNF1B	11630	Renal cysts and diabetes syndrome	AD	137920			
HYLS1	26558	Hydrolethalus syndrome	AR	236680			
IFT122	13556	Cranioectodermal dysplasia 1	AR	218330			
IFT140	29077	Short-rib thoracic dysplasia 9 with or without polydactyly	AR	266920			
IFT172	30391	Short-rib thoracic dysplasia 10 with or without polydactyly	AR	615630			
IFT172	30391	Retinitis pigmentosa 71	AR	616394			
IFT27	18626	?Bardet-Biedl syndrome 19	AR	615996			
IFT43	29669	Cranioectodermal dysplasia 3	AR	614099			
IFT52	15901	Short-rib thoracic dysplasia 16 with or without polydactyly	AR	617102			
IFT74	21424	?Bardet-Biedl syndrome 20	AR	617119			
IFT80	29262	Short-rib thoracic dysplasia 2 with or without polydactyly	AR	611263			
IMPDH1	6052	Retinitis pigmentosa 10	AD	180105			
IMPDH1	6052	Leber congenital amaurosis 11	AD	613837			
INPP5E	21474	Mental retardation, truncal obesity, retinal dystrophy, and micropenis	AR	610156			
INPP5E	21474	Joubert syndrome 1	AR	213300			
INVS	17870	Nephronophthisis 2, infantile	AR	602088			
IQCB1	28949	Senior-Loken syndrome 5	AR	609254			
KCNJ13	6259	Leber congenital amaurosis 16	AR	614186			
KIAA0556	29068	Joubert syndrome 26	AR	616784			
KIAA0586	19960	Short-rib thoracic dysplasia 14 with polydactyly	AR	616546			
KIAA0586	19960	Joubert syndrome 23	AR	616490			
KIF7	30497	Joubert syndrome 12	AR	200990			
KIF7	30497	Acrocallosal syndrome	AR	200990			
LBR	6518	Pelger-Huet anomaly	AD	169400			
LCA5	31923	Leber congenital amaurosis 5	AR	604537			
LRAT	6685	Retinitis pigmentosa, juvenile	AR	613341			
LRAT	6685	Retinal dystrophy, early-onset severe	AR	613341			
LRAT	6685	Leber congenital amaurosis 14	AR	613341			
LRRC6	16725	Ciliary dyskinesia, primary, 19	AR	614935			
LZTFL1	6741	Bardet-Biedl syndrome 17	AR	615994			
MAPKBP1	29536	Nephronophthisis 20	AR	617271			
MCIDAS	40050	Mucociliary clearance disorder	AR				Boon M et al., Nat Commun 2014;5:4418
MKKS	7108	McKusick-Kaufman syndrome	AR	236700			
MKKS	7108	Bardet-Biedl syndrome 6	AR	605231			
MKS1	7121	Bardet-Biedl syndrome 13	AR	615990			
MKS1	7121	Meckel syndrome 1	AR	249000			
MKS1	7121	Joubert syndrome 28	AR	617121			
MUC1	7508	Medullary cystic kidney disease 1	AD	174000			
MYO7A	7606	Usher syndrome, type 1B	AR	276900			
NEK1	7744	Short-rib thoracic dysplasia 6 with or without polydactyly	AR;DR	263520			
NEK8	13387	?Renal-hepatic-pancreatic dysplasia 2	AR	615415			
NEK8	13387	?Nephronophthisis 9	AR	613824			
NME8	16473	Ciliary dyskinesia, primary, 6	AR	610852			
NMNAT1	17877	Leber congenital amaurosis 9	AR	608553			
NODAL	7865	Heterotaxy, visceral, 5	AD	270100			
NPHP1	7905	Nephronophthisis 1, juvenile	AR	256100			
NPHP1	7905	Joubert syndrome 4	AR	609583			
NPHP1	7905	Senior-Loken syndrome-1	AR	266900			
NPHP3	7907	Renal-hepatic-pancreatic dysplasia 1	AR	208540			
NPHP3	7907	Nephronophthisis 3	AR	604387			
NPHP3	7907	Meckel syndrome 7	AR	267010			
NPHP4	19104	Senior-Loken syndrome 4	AR	606996			
NPHP4	19104	Nephronophthisis 4	AR	606966			
OFD1	2567	Orofaciodigital syndrome I	XD	311200			
OFD1	2567	Joubert syndrome 10	XR	300804			
OFD1	2567	?Retinitis pigmentosa 23	XR	300424			
OFD1	2567	Simpson-Golabi-Behmel syndrome, type 2	XR	300209			
PCDH15	14674	Usher syndrome, type 1F	AR	602083			
PCDH15	14674	Usher syndrome, type 1D/F digenic	AR;DR	601067			
PDE6D	8788	?Joubert syndrome 22	AR	615665			
PKHD1	9016	Polycystic kidney and hepatic disease	AR	263200			
PRPH2	9942	Leber congenital amaurosis 18	AR;AD	608133			
PRPH2	9942	Retinitis pigmentosa 7 and digenic	AR;AD	608133			
RD3	19689	Leber congenital amaurosis 12	AR	610612			
RDH12	19977	Leber congenital amaurosis 13	AR	612712			
REN	9958	Renal tubular dysgenesis	AR	267430			
RPE65	10294	Retinitis pigmentosa 20	AR	613794			
RPE65	10294	Leber congenital amaurosis 2	AR	204100			
RPGR	10295	Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness	XL	300455			
RPGR	10295	Retinitis pigmentosa 3	XL	300029			
RPGRIP1	13436	Leber congenital amaurosis 6	AR	613826			
RPGRIP1L	29168	Meckel syndrome 5	AR	611561			
RPGRIP1L	29168	Joubert syndrome 7	AR	611560			
RPGRIP1L	29168	COACH syndrome	AR	216360			
RSPH1	12371	Ciliary dyskinesia, primary, 24	AR	615481			
RSPH3	21054	Ciliary dyskinesia, primary, 32	AR	616481			
RSPH4A	21558	Ciliary dyskinesia, primary, 11	AR	612649			
RSPH9	21057	Ciliary dyskinesia, primary, 12	AR	612650			
SBDS	19440	Shwachman-Diamond syndrome	AR	260400			
SCNN1A	10599	Bronchiectasis with or without elevated sweat chloride 2	AD	613021			
SCNN1B	10600	Bronchiectasis with or without elevated sweat chloride 1	AD	211400			
SCNN1G	10602	Bronchiectasis with or without elevated sweat chloride 3	AD	613071			
SDCCAG8	10671	Senior-Loken syndrome 7	AR	613615			
SDCCAG8	10671	Bardet-Biedl syndrome 16	AR	615993			
SPAG1	11212	Ciliary dyskinesia, primary, 28	AR	615505			
SPATA7	20423	Retinitis pigmentosa, juvenile, autosomal recessive	AR	604232			
SPATA7	20423	Leber congenital amaurosis 3	AR	604232			
TCTN2	25774	Joubert syndrome 24	AR	616654			
TCTN2	25774	?Meckel syndrome 8	AR	613885			
TCTN3	24519	Orofaciodigital syndrome IV	AR	258860			
TCTN3	24519	Joubert syndrome 18	AR	614815			
TMEM138	26944	Joubert syndrome 16	AR	614465			
TMEM216	25018	Meckel syndrome 2	AR	603194			
TMEM216	25018	Joubert syndrome 2	AR	608091			
TMEM231	37234	Meckel syndrome 11	AR	615397			
TMEM231	37234	Joubert syndrome 20	AR	614970			
TMEM237	14432	Joubert syndrome 14	AR	614424			
TMEM67	28396	Joubert syndrome 6	AR	610688			
TMEM67	28396	COACH syndrome	AR	216360			
TMEM67	28396	{Bardet-Biedl syndrome 14, modifier of}	AR	615991			
TMEM67	28396	Nephronophthisis 11	AR	613550			
TMEM67	28396	Meckel syndrome 3	AR	607361			
TOPORS	21653	Retinitis pigmentosa 31	AR	609923			
TRIM32	16380	?Bardet-Biedl syndrome 11	AR	615988			
TTC21B	25660	Short-rib thoracic dysplasia 4 with or without polydactyly	AR	613819			
TTC21B	25660	Nephronophthisis 12	AR;AD	613820			
TTC8	20087	Bardet-Biedl syndrome 8	AR	615985			
TTC8	20087	?Retinitis pigmentosa 51	AR	613464			
TULP1	12423	Leber congenital amaurosis 15	AR	613843			
TULP1	12423	Retinitis pigmentosa 14	AR	600132			
UMOD	12559	Glomerulocystic kidney disease with hyperuricemia and isosthenuria	AD	609886			
UMOD	12559	Medullary cystic kidney disease 2	AD	603860			
USH1C	12597	Usher syndrome, type 1C	AR	276904			
USH1G	16356	Usher syndrome, type 1G	AR	606943			
USH2A	12601	Retinitis pigmentosa 39	AR	613809			
USH2A	12601	Usher syndrome, type 2A	AR	276901			
WDPCP	28027	?Congenital heart defects, hamartomas of tongue, and polysyndactyly	AR	217085			
WDR19	18340	Nephronophthisis 13	AR	614377			
WDR19	18340	?Short-rib thoracic dysplasia 5 with or without polydactyly	AR	614376			
WDR19	18340	?Cranioectodermal dysplasia 4	AR	614378			
WDR19	18340	Senior-Loken syndrome 8	AR	616307			
WDR34	28296	Short-rib thoracic dysplasia 11 with or without polydactyly	AR	615633			
WDR35	29250	Cranioectodermal dysplasia 2	AR	613610			
WDR35	29250	Short-rib thoracic dysplasia 7 with or without polydactyly	AR	614091			
WDR60	21862	Short-rib thoracic dysplasia 8 with or without polydactyly	AR	615503			
XPNPEP3	28052	Nephronophthisis-like nephropathy 1	AR	613159			
ZIC3	12874	VACTERL association, X-linked	XR	314390			
ZIC3	12874	Heterotaxy, visceral, 1, X-linked	XR	306955			
ZIC3	12874	Congenital heart defects, nonsyndromic, 1, X-linked	XR	306955			
ZMYND10	19412	Ciliary dyskinesia, primary, 22	AR	615444			
ZNF423	16762	Nephronophthisis 14	AR;AD	614844			
ZNF423	16762	Joubert syndrome 19	AR;AD	614844			
DNAAF2	20188	Ciliary dyskinesia, primary, 10	AR	612518			
TCTN1	26113	Joubert syndrome 13	AR	614173			
